frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
1,1,2.012,1.348,63.754,39.502,39.502,-30.527,33.227
2,1,2.106,1.342,62.714,35.995,35.995,-33.521,29.192999999999998
3,1,1.919,1.25,64.053,34.441,34.441,-32.673,31.379999999999995
4,1,1.618,1.307,49.968,40.044,40.044,-17.392,32.57600000000001
5,1,1.832,1.516,43.614,45.103,45.103,-14.427,29.186999999999998
6,1,1.861,1.312,41.093,43.606,43.606,-14.692,26.401000000000003
7,1,1.847,1.308,42.04,43.157,43.157,-12.869,29.171
8,1,1.776,1.228,47.295,46.539,46.539,-18.729,28.566000000000003
9,1,2.111,1.215,43.349,43.308,43.308,-17.463,25.885999999999996
10,1,2.262,1.218,43.737,48.802,48.802,-13.689,30.048000000000002
11,1,2.289,1.07,44.23,49.904,49.904,-17.818,26.411999999999995
12,1,2.014,0.921,50.783,47.31,47.31,-23.644,27.139000000000003
13,1,1.923,1.154,45.955,55.768,55.768,-19.041,26.913999999999998
14,1,1.752,1.016,46.923,52.573,52.573,-17.158,29.765
15,1,1.741,0.897,38.869,55.618,55.618,-4.069,34.8
16,1,1.774,1.063,39.868,53.616,53.616,-4.011,35.857
17,1,1.594,0.972,35.481,50.988,50.988,1.455,36.936
18,1,1.551,0.931,42.049,56.532,56.532,-0.583,41.466
19,1,1.451,1.144,39.588,54.976,54.976,6.06,45.648
20,1,1.747,0.804,51.068,50.981,50.981,-1.158,49.91
21,1,1.604,0.894,51.6,55.665,55.665,-0.03,51.57
22,1,1.755,0.99,54.482,62.054,62.054,0.518,55.0
23,1,1.737,1.111,53.878,57.31,57.31,-2.476,51.402
24,1,1.727,1.192,45.626,57.262,57.262,6.689,52.315
25,1,1.688,1.127,34.448,64.394,64.394,7.056,41.504
26,1,1.757,1.317,35.41,67.062,67.062,8.691,44.101
27,1,1.938,1.566,39.249,65.451,65.451,7.387,46.636
28,1,2.128,1.3,39.195,63.299,63.299,9.119,48.314
29,1,1.857,1.38,37.664,60.966,60.966,7.663,45.327
30,1,1.877,1.25,36.407,59.127,59.127,1.998,38.404999999999994
31,1,2.203,1.176,35.641,58.674,58.674,5.704,41.345
32,1,2.118,1.013,37.5,58.224,58.224,2.787,40.287
33,1,2.263,1.117,44.491,56.254,56.254,0.36,44.851
34,1,2.239,0.967,41.175,58.573,58.573,5.831,47.006
35,1,2.108,1.206,46.551,58.427,58.427,5.634,52.185
36,1,1.931,1.159,36.589,67.975,67.975,19.399,55.988
37,1,1.779,1.269,36.88,67.026,67.026,13.679,50.559000000000005
38,1,2.099,1.189,31.594,66.995,66.995,11.196,42.79
39,1,1.766,1.239,31.049,71.253,71.253,13.03,44.079
40,1,1.934,1.333,25.699,75.434,75.434,19.699,45.398
41,1,1.903,1.188,27.979,68.65,68.65,18.566,46.545
42,1,2.153,1.128,29.492,69.728,69.728,13.157,42.649
43,1,2.06,1.086,27.724,64.126,64.126,13.416,41.14
44,1,2.116,1.489,32.034,62.379,62.379,16.566,48.599999999999994
45,1,2.14,1.227,35.847,63.767,63.767,16.209,52.056
46,1,2.212,1.045,41.715,64.866,64.866,15.952,57.667
47,1,1.933,1.209,35.139,73.139,73.139,24.237,59.376000000000005
48,1,2.047,1.388,31.382,74.911,74.911,29.115,60.497
49,1,2.031,0.954,37.437,58.331,58.331,23.427,60.864
50,1,1.835,1.203,38.434,61.638,61.638,20.621,59.05499999999999
51,1,2.229,1.188,45.456,60.739,60.739,23.381,68.837
52,1,2.027,1.119,47.062,59.392,59.392,26.215,73.277
53,1,1.91,1.36,43.655,54.541,54.541,20.02,63.675
54,1,2.318,1.243,48.35,63.103,63.103,16.398,64.748
55,1,2.508,1.191,49.015,64.497,64.497,11.883,60.897999999999996
56,1,2.424,1.256,55.178,60.0,60.0,17.685,72.863
57,1,2.335,1.367,59.376,58.726,58.726,16.629,76.005
58,1,2.428,0.956,60.479,64.321,64.321,15.76,76.239
59,1,2.314,1.308,58.496,65.11,65.11,15.164,73.66
60,1,2.475,1.172,58.054,68.415,68.415,18.535,76.589
61,1,2.487,1.23,56.229,67.437,67.437,20.14,76.369
62,1,2.622,1.013,57.259,66.13,66.13,16.76,74.019
63,1,2.657,1.029,65.985,63.761,63.761,12.136,78.121
64,1,2.607,1.046,58.368,64.328,64.328,9.793,68.161
65,1,2.465,0.946,64.204,59.942,59.942,2.078,66.282
66,1,2.299,1.382,70.357,63.208,63.208,0.539,70.896
67,1,2.201,1.129,69.017,56.402,56.402,-4.644,64.37299999999999
68,1,2.093,0.851,67.914,64.77,64.77,-5.906,62.008
69,1,1.848,1.254,53.562,65.098,65.098,-1.858,51.704
70,1,1.857,1.025,45.797,65.459,65.459,3.126,48.922999999999995
