frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
1,1,1.162,1.105,4.396,59.146,59.146,-42.844,-38.448
2,1,1.438,1.351,-1.776,56.406,56.406,-37.158,-38.934000000000005
3,1,1.379,1.107,0.009,52.3,52.3,-37.543,-37.534
4,1,1.213,0.884,0.718,55.935,55.935,-36.399,-35.681
5,1,1.333,1.013,2.518,51.793,51.793,-40.439,-37.921
6,1,1.04,1.124,0.524,55.8,55.8,-38.966,-38.442
7,1,0.997,0.924,-7.457,50.909,50.909,-36.105,-43.562
8,1,1.531,0.953,-14.984,43.948,43.948,-28.266,-43.25
9,1,1.214,0.82,-12.355,44.977,44.977,-33.839,-46.194
10,1,1.364,0.893,-7.862,43.722,43.722,-36.408,-44.27
11,1,1.346,0.794,-5.888,46.607,46.607,-40.241,-46.129
12,1,1.123,1.241,-3.983,43.893,43.893,-42.216,-46.199
13,1,1.089,0.908,-9.442,45.278,45.278,-39.702,-49.144
14,1,0.967,1.236,-10.316,46.755,46.755,-41.127,-51.443000000000005
15,1,1.157,0.995,-8.426,49.252,49.252,-44.445,-52.871
16,1,1.249,0.905,-11.089,53.954,53.954,-42.732,-53.821
17,1,1.265,1.082,-3.813,55.097,55.097,-51.328,-55.141000000000005
18,1,1.087,1.083,0.003,51.82,51.82,-50.773,-50.77
19,1,0.986,0.833,2.202,53.303,53.303,-52.568,-50.366
20,1,1.205,0.941,-8.549,49.206,49.206,-37.486,-46.035
21,1,1.088,0.792,-9.497,44.855,44.855,-34.749,-44.246
22,1,1.184,0.825,-4.187,50.984,50.984,-40.22,-44.407
23,1,1.044,0.957,-2.409,50.651,50.651,-40.77,-43.179
24,1,1.132,1.046,0.155,56.799,56.799,-42.861,-42.705999999999996
25,1,1.117,0.988,0.655,58.302,58.302,-47.821,-47.166
26,1,1.062,0.753,-3.708,50.815,50.815,-43.556,-47.263999999999996
27,1,1.079,1.15,-10.393,47.836,47.836,-36.351,-46.744
28,1,1.051,1.128,-6.499,50.002,50.002,-38.13,-44.629000000000005
29,1,1.02,1.115,2.902,48.033,48.033,-43.759,-40.857
30,1,1.122,1.016,6.007,44.234,44.234,-47.696,-41.689
