frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
1,1,2.033,1.225,70.621,32.422,32.422,-37.421,33.199999999999996
2,1,1.609,0.541,86.34,51.396,51.396,-49.411,36.929
3,1,1.508,0.897,39.15,55.0,55.0,-14.528,24.622
4,1,1.379,1.412,27.776,34.838,34.838,-24.39,3.3859999999999992
5,1,1.308,0.767,33.395,50.459,50.459,-2.875,30.520000000000003
6,1,1.757,0.937,70.918,59.641,59.641,-40.326,30.592000000000006
7,1,1.361,0.776,33.723,47.77,47.77,-4.93,28.793
8,1,1.481,1.035,40.062,53.501,53.501,-9.001,31.061
9,1,1.698,1.017,53.572,63.587,63.587,-23.599,29.973000000000003
10,1,1.568,0.914,57.482,57.86,57.86,-21.124,36.358000000000004
11,1,1.451,0.79,40.577,62.775,62.775,-3.734,36.842999999999996
12,1,1.795,0.833,39.79,58.393,58.393,19.194,58.983999999999995
13,1,1.598,1.006,33.831,60.102,60.102,-3.901,29.930000000000003
14,1,1.588,0.9,56.38,63.597,63.597,2.36,58.74
15,1,1.5,1.133,26.468,68.82,68.82,-1.751,24.717
16,1,1.412,1.044,23.755,64.284,64.284,2.04,25.794999999999998
17,1,1.536,1.323,86.606,59.796,59.796,-45.591,41.01499999999999
18,1,2.182,0.797,37.694,62.294,62.294,32.711,70.405
19,1,1.949,1.081,38.975,64.715,64.715,37.005,75.98
20,1,1.357,1.124,88.876,61.667,61.667,-48.407,40.46900000000001
21,1,1.938,0.982,61.14,54.149,54.149,5.122,66.262
22,1,0.948,0.735,42.295,63.293,63.293,-64.323,-22.02799999999999
23,1,1.56,1.442,60.438,60.382,60.382,-2.643,57.795
24,1,2.041,0.73,33.483,62.764,62.764,26.278,59.760999999999996
25,1,1.421,1.024,5.968,49.711,49.711,-22.007,-16.039
26,1,1.473,1.237,9.201,46.79,46.79,-24.285,-15.084
27,1,1.652,0.841,38.484,64.461,64.461,14.669,53.153000000000006
