frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
1,1,2.033,1.225,70.621,32.422,32.422,-37.421,33.199999999999996
2,1,2.099,1.499,76.324,36.966,36.966,-36.773,39.550999999999995
3,1,1.985,1.158,46.072,37.854,37.854,-17.264,28.808000000000003
4,1,2.005,1.331,56.003,36.331,36.331,-29.149,26.854
5,1,2.18,1.477,72.33,48.719,48.719,-45.959,26.370999999999995
6,1,2.078,1.505,22.248,39.362,39.362,14.042,36.29
7,1,1.433,1.393,47.442,46.996,46.996,-18.362,29.080000000000002
8,1,2.368,1.473,45.516,43.548,43.548,-24.542,20.973999999999997
9,1,2.161,1.411,52.896,45.703,45.703,-39.278,13.618000000000002
10,1,2.019,1.585,53.319,41.317,41.317,-34.786,18.533
11,1,1.662,1.357,22.79,45.148,45.148,-3.451,19.339
12,1,1.863,1.011,50.461,48.183,48.183,-37.225,13.235999999999997
13,1,1.911,1.531,50.805,45.009,45.009,-31.795,19.009999999999998
14,1,2.015,0.946,38.115,50.765,50.765,-24.087,14.028000000000002
15,1,1.823,1.273,16.81,37.301,37.301,-14.537,2.272999999999998
16,1,1.788,1.36,46.747,47.386,47.386,-26.198,20.549
17,1,1.92,1.372,47.791,52.091,52.091,-23.184,24.606999999999996
18,1,1.962,1.135,42.441,49.603,49.603,-22.408,20.033
19,1,1.869,1.508,43.267,49.582,49.582,-28.196,15.071000000000002
20,1,1.661,1.124,46.665,46.874,46.874,-30.261,16.404
21,1,1.937,1.06,44.607,59.744,59.744,-1.243,43.364
22,1,2.225,1.059,44.148,62.249,62.249,-1.192,42.956
23,1,1.838,1.008,40.805,62.464,62.464,-0.804,40.001
24,1,1.898,1.081,34.243,46.62,46.62,-14.712,19.531000000000002
25,1,1.784,1.019,32.723,54.663,54.663,-7.472,25.250999999999998
26,1,1.788,1.127,36.403,51.095,51.095,-3.219,33.184
27,1,1.632,0.733,37.894,51.203,51.203,-2.911,34.983
28,1,1.881,0.915,40.351,45.38,45.38,-13.813,26.537999999999997
29,1,1.708,0.571,39.822,47.318,47.318,-15.627,24.195
30,1,1.513,0.914,40.326,52.64,52.64,-7.674,32.652
31,1,1.621,0.702,35.08,47.341,47.341,-6.145,28.935
32,1,1.598,0.913,34.951,53.636,53.636,-3.74,31.211
33,1,1.639,0.673,33.046,52.285,52.285,-13.723,19.323
34,1,1.564,0.498,32.143,54.338,54.338,-11.842,20.301000000000002
35,1,1.613,0.885,44.662,60.19,60.19,-0.924,43.738
36,1,1.593,0.908,44.597,67.743,67.743,6.744,51.341
37,1,1.705,1.003,36.183,59.474,59.474,3.816,39.999
38,1,1.907,1.015,40.607,63.454,63.454,7.607,48.214
39,1,1.507,0.971,31.931,52.756,52.756,-11.812,20.119
40,1,1.398,0.921,31.094,59.159,59.159,-15.883,15.211000000000002
41,1,1.283,0.945,38.39,61.082,61.082,-24.356,14.033999999999999
42,1,1.52,0.855,41.392,60.045,60.045,-27.661,13.731000000000002
43,1,1.201,0.854,34.897,53.544,53.544,-12.454,22.442999999999998
44,1,1.221,0.843,34.824,60.866,60.866,-13.143,21.680999999999997
45,1,1.254,0.844,35.322,59.424,59.424,-18.184,17.138
46,1,1.254,0.983,28.421,60.009,60.009,-13.839,14.581999999999999
47,1,1.406,0.851,20.306,63.458,63.458,-8.756,11.55
48,1,1.421,0.748,26.079,61.558,61.558,-14.102,11.977
49,1,1.372,1.359,51.653,37.449,37.449,-19.895,31.758
50,1,1.569,0.987,43.589,58.949,58.949,-32.574,11.015
51,1,1.225,1.208,44.78,39.534,39.534,-12.953,31.827
52,1,1.701,0.946,48.811,52.005,52.005,-31.82,16.991
53,1,1.352,0.706,39.974,50.966,50.966,-26.11,13.863999999999997
54,1,1.529,0.883,45.843,47.133,47.133,-34.048,11.795000000000002
55,1,1.227,0.978,33.89,61.544,61.544,2.158,36.048
56,1,1.404,0.558,40.177,48.016,48.016,-39.81,0.36699999999999733
57,1,1.358,0.836,34.108,46.564,46.564,-36.254,-2.146000000000001
58,1,1.242,0.698,30.987,67.698,67.698,0.269,31.255999999999997
59,1,1.654,0.744,35.823,55.859,55.859,-32.26,3.5630000000000024
60,1,1.448,0.719,42.166,69.365,69.365,-25.874,16.291999999999998
61,1,1.704,0.836,39.127,47.314,47.314,-24.285,14.842000000000002
62,1,1.983,1.053,49.357,51.423,51.423,-22.816,26.541
63,1,1.875,0.852,52.077,47.136,47.136,-30.479,21.598
64,1,1.983,0.857,46.719,45.224,45.224,-18.702,28.017
65,1,1.876,1.045,59.1,49.341,49.341,-34.376,24.724000000000004
66,1,1.908,1.139,45.996,52.882,52.882,-20.941,25.055000000000003
67,1,1.342,0.925,47.226,41.899,41.899,-5.766,41.46
68,1,1.186,0.977,48.514,41.81,41.81,-0.738,47.776
69,1,1.725,0.909,42.831,54.635,54.635,-8.436,34.395
70,1,1.306,1.104,58.903,34.23,34.23,-13.816,45.086999999999996
71,1,1.656,0.816,42.192,60.009,60.009,11.877,54.069
72,1,1.615,0.99,41.515,56.019,56.019,1.112,42.627
73,1,1.876,0.893,50.707,49.85,49.85,-33.447,17.259999999999998
74,1,1.779,0.943,45.216,49.722,49.722,-33.096,12.120000000000005
75,1,1.439,0.967,60.368,38.254,38.254,-20.586,39.782000000000004
76,1,1.622,0.644,39.352,64.768,64.768,-1.476,37.876
77,1,1.412,0.98,60.512,40.007,40.007,-19.404,41.108000000000004
78,1,1.52,0.748,-2.253,63.829,63.829,0.629,-1.624
79,1,1.956,1.114,1.432,63.493,63.493,0.838,2.27
80,1,1.477,0.751,35.808,67.958,67.958,0.037,35.845
81,1,1.442,1.063,6.967,67.532,67.532,-4.732,2.2349999999999994
82,1,1.962,0.778,10.385,67.91,67.91,-6.976,3.409
83,1,1.654,1.054,-0.445,69.817,69.817,-5.261,-5.706
84,1,1.769,1.034,26.705,48.068,48.068,-28.455,-1.75
85,1,1.186,1.224,63.569,65.204,65.204,-50.252,13.317
86,1,1.501,1.234,32.84,49.774,49.774,-29.061,3.7790000000000035
87,1,1.562,0.673,41.272,49.994,49.994,-35.674,5.597999999999999
88,1,1.785,0.791,40.766,51.172,51.172,-31.771,8.994999999999997
89,1,1.491,0.885,35.845,45.624,45.624,-33.583,2.2620000000000005
90,1,1.076,1.199,43.674,55.107,55.107,-50.706,-7.032000000000004
91,1,1.074,0.86,42.412,53.993,53.993,-49.347,-6.935000000000002
92,1,1.242,0.873,58.931,44.994,44.994,-21.961,36.97
93,1,1.703,1.075,24.009,51.16,51.16,-28.865,-4.855999999999998
94,1,1.702,1.178,15.6,50.663,50.663,-16.474,-0.8740000000000006
95,1,1.388,0.851,21.171,55.388,55.388,-21.378,-0.20700000000000074
96,1,1.727,0.715,24.561,49.321,49.321,-30.106,-5.545000000000002
97,1,1.364,0.717,45.77,53.838,53.838,-64.817,-19.04699999999999
98,1,1.807,0.829,28.947,73.15,73.15,10.281,39.228
