frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
1,1,1.087,1.579,50.11,41.54,41.54,-85.655,-35.545
2,1,1.0,1.533,47.589,35.852,35.852,-81.373,-33.784000000000006
3,1,0.955,1.399,44.928,34.128,34.128,-82.829,-37.900999999999996
4,1,1.028,1.61,34.34,34.037,34.037,-74.858,-40.518
5,1,1.196,1.725,37.331,35.424,35.424,-77.088,-39.75699999999999
6,1,1.018,1.726,39.369,36.015,36.015,-80.589,-41.22
7,1,1.01,1.713,39.754,35.931,35.931,-80.849,-41.095000000000006
8,1,1.115,1.737,35.24,41.858,41.858,-76.321,-41.080999999999996
9,1,1.41,1.531,44.074,38.469,38.469,-84.614,-40.540000000000006
10,1,1.396,1.62,41.071,40.146,40.146,-71.749,-30.677999999999997
11,1,1.153,1.525,37.31,41.959,41.959,-66.197,-28.887
12,1,1.293,1.545,33.839,41.398,41.398,-72.732,-38.893
13,1,1.193,1.589,39.139,40.114,40.114,-76.844,-37.70499999999999
14,1,1.144,1.623,40.249,38.518,38.518,-78.354,-38.105
15,1,1.284,1.368,38.118,42.075,42.075,-79.155,-41.037
16,1,1.203,1.347,35.088,36.983,36.983,-72.75,-37.662
17,1,1.181,1.429,35.207,36.683,36.683,-70.035,-34.827999999999996
18,1,1.57,1.3,46.402,33.66,33.66,-81.298,-34.896
19,1,1.196,1.531,46.772,39.112,39.112,-79.093,-32.321000000000005
20,1,1.12,1.446,48.898,44.816,44.816,-74.784,-25.886000000000003
21,1,1.194,1.435,44.721,44.158,44.158,-73.744,-29.023000000000003
22,1,1.212,1.591,49.371,46.687,46.687,-78.596,-29.225
23,1,0.937,1.358,44.372,43.493,43.493,-68.908,-24.536
24,1,1.034,1.523,40.175,46.5,46.5,-66.419,-26.244
25,1,1.053,1.404,48.184,41.96,41.96,-73.064,-24.879999999999995
26,1,0.72,1.414,39.622,34.606,34.606,-69.043,-29.421000000000006
27,1,1.179,1.372,47.04,38.494,38.494,-74.453,-27.413000000000004
28,1,0.958,1.309,49.521,35.39,35.39,-74.604,-25.083
29,1,0.64,1.406,40.162,42.731,42.731,-65.62,-25.458000000000006
30,1,0.638,1.301,48.525,37.253,37.253,-72.933,-24.40800000000001
31,1,0.85,1.142,50.154,42.303,42.303,-72.371,-22.21699999999999
32,1,0.965,1.161,56.641,36.194,36.194,-82.98,-26.339000000000006
33,1,1.201,1.225,52.086,44.56,44.56,-80.306,-28.22
34,1,0.979,1.161,53.558,39.706,39.706,-88.262,-34.704
35,1,1.141,1.0,61.051,46.336,46.336,-99.365,-38.31399999999999
36,1,0.789,1.214,56.92,46.487,46.487,-91.562,-34.641999999999996
37,1,1.012,1.241,72.175,44.17,44.17,-105.2,-33.025000000000006
38,1,0.97,1.119,67.391,50.147,50.147,-98.518,-31.126999999999995
39,1,1.052,1.245,64.656,49.175,49.175,-102.206,-37.55
40,1,1.16,1.444,62.58,50.375,50.375,-99.205,-36.625
41,1,1.117,1.238,60.223,49.037,49.037,-95.336,-35.113
42,1,0.868,1.392,59.183,56.458,56.458,-98.722,-39.538999999999994
43,1,0.869,1.197,61.457,56.811,56.811,-96.073,-34.61599999999999
44,1,0.838,1.125,57.54,58.433,58.433,-90.309,-32.769
45,1,0.958,1.204,58.289,58.564,58.564,-86.605,-28.316000000000003
46,1,0.799,1.369,56.719,60.354,60.354,-90.912,-34.193000000000005
