frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
1,1,0.379,0.574,-22.94,25.596,25.596,-7.167,-30.107
2,1,0.754,0.785,-16.686,17.512,17.512,-9.076,-25.762
3,1,0.714,0.642,-47.699,40.685,40.685,33.723,-13.975999999999999
4,1,0.418,0.652,-31.195,18.115,18.115,14.56,-16.634999999999998
5,1,0.662,0.587,-21.711,29.161,29.161,6.211,-15.499999999999998
6,1,0.359,0.466,-23.231,6.828,6.828,6.228,-17.003
7,1,0.871,0.747,-19.262,21.59,21.59,2.303,-16.959
8,1,0.542,0.577,-42.478,9.634,9.634,15.012,-27.466
9,1,0.532,0.71,-34.015,19.119,19.119,17.298,-16.717000000000002
10,1,0.476,0.697,-9.229,11.25,11.25,-15.143,-24.372
11,1,0.742,0.886,7.873,16.913,16.913,-32.848,-24.974999999999998
12,1,0.506,0.897,-16.494,31.706,31.706,2.48,-14.014
13,1,0.407,0.509,-1.389,23.772,23.772,-15.351,-16.740000000000002
14,1,0.677,0.544,-35.209,21.292,21.292,19.793,-15.416000000000004
15,1,0.754,0.42,-54.563,27.062,27.062,32.69,-21.873000000000005
16,1,0.514,0.659,-37.541,38.673,38.673,14.364,-23.176999999999996
17,1,0.706,0.87,-46.098,35.357,35.357,31.341,-14.756999999999998
18,1,0.614,0.471,-37.314,21.389,21.389,22.073,-15.241
19,1,0.796,0.775,-55.615,32.972,32.972,37.308,-18.307000000000002
20,1,0.559,0.444,-38.276,37.508,37.508,18.569,-19.707000000000004
21,1,0.673,0.533,-35.814,43.462,43.462,19.302,-16.512
22,1,0.517,0.566,-26.888,23.942,23.942,3.421,-23.467000000000002
23,1,0.319,0.644,-35.852,36.967,36.967,21.427,-14.424999999999997
24,1,0.706,0.65,-38.788,39.189,39.189,24.286,-14.501999999999995
25,1,0.484,0.821,-41.595,54.907,54.907,11.995,-29.6
26,1,0.594,0.661,-26.527,16.908,16.908,29.517,2.9899999999999984
27,1,0.564,0.513,-35.129,35.341,35.341,12.228,-22.900999999999996
28,1,0.371,0.718,-46.851,25.387,25.387,25.943,-20.907999999999998
29,1,0.894,0.595,-52.94,27.785,27.785,34.419,-18.521
30,1,0.615,0.701,-26.384,24.247,24.247,0.223,-26.161
31,1,1.043,0.448,-40.082,24.845,24.845,28.331,-11.751000000000001
32,1,0.511,0.608,-48.574,16.599,16.599,17.899,-30.674999999999997
33,1,0.447,0.563,-34.11,19.535,19.535,17.107,-17.003
34,1,0.689,0.868,-61.642,24.22,24.22,41.966,-19.676000000000002
35,1,0.576,0.782,-40.871,57.602,57.602,16.264,-24.607000000000003
36,1,0.788,0.777,-21.64,12.418,12.418,1.448,-20.192
37,1,0.42,0.359,-54.294,14.8,14.8,23.326,-30.967999999999996
38,1,0.842,0.7,-63.735,31.185,31.185,32.829,-30.906
39,1,0.609,1.027,-40.449,40.672,40.672,23.523,-16.926
40,1,0.47,0.495,0.991,20.221,20.221,-34.113,-33.122
41,1,0.71,0.746,-50.901,25.397,25.397,28.466,-22.435000000000002
42,1,0.713,0.771,-24.432,15.996,15.996,5.61,-18.822
43,1,0.598,0.716,-26.221,22.148,22.148,2.688,-23.533
44,1,0.502,0.675,-28.687,17.799,17.799,16.039,-12.648
45,1,0.678,0.849,-32.572,30.097,30.097,6.548,-26.024
46,1,0.433,0.786,-27.488,20.939,20.939,9.329,-18.159
47,1,0.656,0.731,-57.89,33.689,33.689,39.86,-18.03
48,1,0.559,0.653,-10.761,13.938,13.938,6.513,-4.247999999999999
49,1,0.531,0.76,-25.609,21.847,21.847,16.604,-9.005000000000003
50,1,0.638,0.643,-64.789,20.059,20.059,45.079,-19.71
51,1,0.388,0.607,-18.746,18.621,18.621,-3.292,-22.037999999999997
52,1,0.842,0.745,-32.47,21.78,21.78,18.891,-13.579
53,1,0.475,0.279,-41.403,15.985,15.985,28.173,-13.23
54,1,0.819,0.667,-40.345,18.275,18.275,16.1,-24.244999999999997
55,1,0.569,0.656,-37.068,24.115,24.115,7.611,-29.456999999999997
56,1,0.595,0.466,-31.528,31.596,31.596,-0.412,-31.939999999999998
57,1,0.384,0.35,-42.455,17.851,17.851,24.004,-18.450999999999997
58,1,0.756,0.841,-46.747,31.982,31.982,25.928,-20.819
59,1,0.487,0.621,-37.985,54.402,54.402,23.297,-14.687999999999999
60,1,0.674,0.536,-38.027,14.712,14.712,13.302,-24.725
61,1,0.416,0.601,-20.989,40.126,40.126,6.585,-14.404
62,1,0.751,0.415,-48.478,29.379,29.379,46.236,-2.2420000000000044
63,1,0.595,0.765,-58.061,24.051,24.051,45.572,-12.488999999999997
64,1,0.527,0.589,-19.428,20.54,20.54,-11.81,-31.238
65,1,0.842,0.678,-62.113,22.921,22.921,50.202,-11.911000000000001
66,1,0.721,0.583,-23.682,10.44,10.44,5.673,-18.009
67,1,0.734,0.57,-41.638,21.05,21.05,11.643,-29.994999999999997
68,1,0.441,0.595,-25.259,23.133,23.133,8.854,-16.405
69,1,0.71,0.538,-30.529,24.521,24.521,8.241,-22.288
70,1,0.576,0.703,-3.413,14.417,14.417,-14.609,-18.022
71,1,0.821,0.74,-42.423,12.069,12.069,19.833,-22.590000000000003
72,1,0.777,0.55,-31.938,10.537,10.537,2.177,-29.761
73,1,0.416,0.399,12.091,20.181,20.181,-25.949,-13.858000000000002
74,1,0.733,0.623,-37.557,31.787,31.787,24.828,-12.729000000000003
75,1,0.639,0.636,-52.684,14.818,14.818,34.722,-17.961999999999996
76,1,0.64,0.648,-27.636,17.878,17.878,11.11,-16.526
77,1,0.669,0.496,-32.165,19.139,19.139,10.164,-22.000999999999998
78,1,0.769,0.712,-43.489,36.235,36.235,26.501,-16.987999999999996
79,1,0.584,0.792,-31.399,18.045,18.045,12.52,-18.879
80,1,0.722,0.784,-50.469,29.975,29.975,29.599,-20.87
81,1,0.423,0.636,-36.464,36.352,36.352,19.093,-17.371
82,1,0.371,0.725,-32.837,22.646,22.646,17.378,-15.459000000000003
83,1,0.639,0.624,-33.049,23.818,23.818,33.07,0.021000000000000796
84,1,0.657,0.938,-20.623,29.821,29.821,9.315,-11.308000000000002
85,1,0.625,0.582,-44.19,34.206,34.206,23.894,-20.296
86,1,0.774,0.716,-37.631,18.117,18.117,12.931,-24.700000000000003
87,1,0.589,0.625,-1.55,17.776,17.776,-22.747,-24.297
88,1,0.625,0.756,-47.174,12.942,12.942,26.437,-20.737
