frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
5618,1,0.979,0.889,-37.489000000000004,105.40899999999999,105.409,-2.4410000000000025,-39.93000000000001,1,7.046,1
41247,1,0.475,0.457,-37.09,31.498999999999995,31.499,12.430000000000007,-24.659999999999997,1,7.046,2
14530,1,0.597,0.624,-31.87100000000001,50.81299999999999,50.813,9.025000000000006,-22.846000000000004,1,7.046,3
36726,1,0.619,0.787,-44.545000000000016,28.712999999999994,28.713,45.166,0.6209999999999809,1,7.046,4
15723,1,0.388,0.591,-32.66499999999999,18.224999999999994,18.225,12.705000000000013,-19.960000000000008,1,7.046,5
41764,1,0.401,0.634,-51.992999999999995,47.24000000000001,47.24,28.860000000000014,-23.13300000000001,1,7.046,6
23236,1,0.531,0.529,-34.12700000000001,46.89500000000001,46.895,25.65299999999999,-8.47399999999999,1,7.046,7
1952,1,0.713,0.676,-28.206999999999994,24.382000000000005,24.382,25.74600000000001,-2.4610000000000127,1,7.046,8
42922,1,1.452,0.833,-44.953,94.05200000000002,94.052,42.68299999999999,-2.2700000000000102,1,7.046,9
16305,1,0.829,0.609,-60.111999999999995,27.257000000000005,27.257,52.33500000000001,-7.776999999999987,1,7.046,10
22813,1,0.698,0.817,-41.46199999999999,24.990999999999985,24.991,19.601,-21.86099999999999,1,7.046,11
19258,1,0.766,0.544,-44.60300000000001,37.363,37.363,39.52699999999999,-5.075999999999993,1,7.046,12
12467,1,0.615,0.704,-26.602000000000004,15.396000000000015,15.396,16.72200000000001,-9.879999999999995,1,7.046,13
17668,1,0.617,0.536,-45.63900000000001,57.36699999999999,57.367,21.591000000000008,-24.048000000000002,1,7.046,14
21822,1,0.641,0.621,-15.396000000000015,19.15700000000001,19.157,-3.4850000000000136,-18.881,1,7.046,15
30332,1,0.732,0.739,-20.788999999999987,23.432999999999993,23.433,10.84299999999999,-9.945999999999998,1,7.046,16
24528,1,0.568,0.649,-46.488,27.860000000000014,27.86,18.566000000000003,-27.921999999999997,1,7.046,17
38449,1,0.537,0.695,-56.238,26.099999999999994,26.1,32.31200000000001,-23.925999999999988,1,7.046,18
10508,1,0.793,0.668,-42.89099999999999,26.641999999999996,26.642,37.54399999999998,-5.347000000000008,1,7.046,19
32015,1,0.533,0.558,-27.84899999999999,51.327,51.327,-2.2179999999999893,-30.067000000000007,1,7.046,20
17668,1,0.617,0.536,-45.63900000000001,57.36699999999999,57.367,21.591000000000008,-24.048000000000002,2,7.046,1
41764,1,0.401,0.634,-51.992999999999995,47.24000000000001,47.24,28.860000000000014,-23.13300000000001,2,7.046,2
22813,1,0.698,0.817,-41.46199999999999,24.990999999999985,24.991,19.601,-21.86099999999999,2,7.046,3
12467,1,0.615,0.704,-26.602000000000004,15.396000000000015,15.396,16.72200000000001,-9.879999999999995,2,7.046,4
41247,1,0.475,0.457,-37.09,31.498999999999995,31.499,12.430000000000007,-24.659999999999997,2,7.046,5
36726,1,0.619,0.787,-44.545000000000016,28.712999999999994,28.713,45.166,0.6209999999999809,2,7.046,6
5618,1,0.979,0.889,-37.489000000000004,105.40899999999999,105.409,-2.4410000000000025,-39.93000000000001,2,7.046,7
38449,1,0.537,0.695,-56.238,26.099999999999994,26.1,32.31200000000001,-23.925999999999988,2,7.046,8
15723,1,0.388,0.591,-32.66499999999999,18.224999999999994,18.225,12.705000000000013,-19.960000000000008,2,7.046,9
30332,1,0.732,0.739,-20.788999999999987,23.432999999999993,23.433,10.84299999999999,-9.945999999999998,2,7.046,10
23236,1,0.531,0.529,-34.12700000000001,46.89500000000001,46.895,25.65299999999999,-8.47399999999999,2,7.046,11
42922,1,1.452,0.833,-44.953,94.05200000000002,94.052,42.68299999999999,-2.2700000000000102,2,7.046,12
21822,1,0.641,0.621,-15.396000000000015,19.15700000000001,19.157,-3.4850000000000136,-18.881,2,7.046,13
24528,1,0.568,0.649,-46.488,27.860000000000014,27.86,18.566000000000003,-27.921999999999997,2,7.046,14
14530,1,0.597,0.624,-31.87100000000001,50.81299999999999,50.813,9.025000000000006,-22.846000000000004,2,7.046,15
32015,1,0.533,0.558,-27.84899999999999,51.327,51.327,-2.2179999999999893,-30.067000000000007,2,7.046,16
16305,1,0.829,0.609,-60.111999999999995,27.257000000000005,27.257,52.33500000000001,-7.776999999999987,2,7.046,17
10508,1,0.793,0.668,-42.89099999999999,26.641999999999996,26.642,37.54399999999998,-5.347000000000008,2,7.046,18
1952,1,0.713,0.676,-28.206999999999994,24.382000000000005,24.382,25.74600000000001,-2.4610000000000127,2,7.046,19
19258,1,0.766,0.544,-44.60300000000001,37.363,37.363,39.52699999999999,-5.075999999999993,2,7.046,20
36726,1,0.619,0.787,-44.545000000000016,28.712999999999994,28.713,45.166,0.6209999999999809,3,7.046,1
38449,1,0.537,0.695,-56.238,26.099999999999994,26.1,32.31200000000001,-23.925999999999988,3,7.046,2
22813,1,0.698,0.817,-41.46199999999999,24.990999999999985,24.991,19.601,-21.86099999999999,3,7.046,3
15723,1,0.388,0.591,-32.66499999999999,18.224999999999994,18.225,12.705000000000013,-19.960000000000008,3,7.046,4
30332,1,0.732,0.739,-20.788999999999987,23.432999999999993,23.433,10.84299999999999,-9.945999999999998,3,7.046,5
17668,1,0.617,0.536,-45.63900000000001,57.36699999999999,57.367,21.591000000000008,-24.048000000000002,3,7.046,6
1952,1,0.713,0.676,-28.206999999999994,24.382000000000005,24.382,25.74600000000001,-2.4610000000000127,3,7.046,7
24528,1,0.568,0.649,-46.488,27.860000000000014,27.86,18.566000000000003,-27.921999999999997,3,7.046,8
32015,1,0.533,0.558,-27.84899999999999,51.327,51.327,-2.2179999999999893,-30.067000000000007,3,7.046,9
16305,1,0.829,0.609,-60.111999999999995,27.257000000000005,27.257,52.33500000000001,-7.776999999999987,3,7.046,10
19258,1,0.766,0.544,-44.60300000000001,37.363,37.363,39.52699999999999,-5.075999999999993,3,7.046,11
14530,1,0.597,0.624,-31.87100000000001,50.81299999999999,50.813,9.025000000000006,-22.846000000000004,3,7.046,12
21822,1,0.641,0.621,-15.396000000000015,19.15700000000001,19.157,-3.4850000000000136,-18.881,3,7.046,13
12467,1,0.615,0.704,-26.602000000000004,15.396000000000015,15.396,16.72200000000001,-9.879999999999995,3,7.046,14
41764,1,0.401,0.634,-51.992999999999995,47.24000000000001,47.24,28.860000000000014,-23.13300000000001,3,7.046,15
10508,1,0.793,0.668,-42.89099999999999,26.641999999999996,26.642,37.54399999999998,-5.347000000000008,3,7.046,16
41247,1,0.475,0.457,-37.09,31.498999999999995,31.499,12.430000000000007,-24.659999999999997,3,7.046,17
