frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
12386,1,1.567,1.033,0.51400000000001,90.21299999999997,90.213,9.651999999999987,10.165999999999997,1,3.828,1
11944,1,1.371,0.762,-13.013000000000005,71.01400000000001,71.014,3.4749999999999943,-9.538000000000011,1,3.828,2
15066,1,1.211,0.92,-15.388000000000005,32.29399999999998,32.294,-37.661,-53.04900000000001,1,3.828,3
15004,1,1.48,0.847,-30.314999999999998,29.921999999999997,29.922,-18.471000000000004,-48.786,1,3.828,4
689,1,0.682,0.934,19.450999999999993,38.72300000000001,38.723,-67.54,-48.089,1,3.828,5
47149,1,1.663,0.938,36.396000000000015,66.60300000000001,66.603,35.19,71.58600000000001,1,3.828,6
29152,1,1.669,0.786,47.39099999999999,29.353999999999985,29.354,-68.435,-21.04400000000001,1,3.828,7
29012,1,1.787,0.859,3.0289999999999964,21.497000000000014,21.497,-22.25399999999999,-19.224999999999994,1,3.828,8
47121,1,2.16,0.763,21.043000000000006,89.356,89.356,19.85900000000001,40.90199999999999,1,3.828,9
47120,1,2.209,0.555,18.021000000000015,85.67599999999999,85.676,15.373999999999995,33.39500000000001,1,3.828,10
12177,1,2.066,1.11,93.44799999999998,55.916,55.916,-28.568000000000012,64.88,1,3.828,11
29013,1,1.33,0.821,7.699000000000012,22.857,22.857,-25.949000000000012,-18.25,1,3.828,12
13005,1,1.499,1.062,-28.625,34.18299999999999,34.183,-32.92500000000001,-61.55,1,3.828,13
41661,1,1.922,0.584,57.172,49.599999999999994,49.6,-86.6,-29.427999999999997,1,3.828,14
41579,1,1.542,0.966,-1.5889999999999986,53.635999999999996,53.636,-41.50800000000001,-43.09700000000001,1,3.828,15
28988,1,1.26,0.589,13.426999999999992,38.827,38.827,-28.074000000000012,-14.646999999999991,1,3.828,16
47126,1,2.278,0.649,36.396000000000015,83.57799999999997,83.578,16.215000000000003,52.61099999999999,1,3.828,17
45206,1,1.065,0.969,-35.22300000000001,80.50400000000002,80.504,-3.673000000000002,-38.896000000000015,1,3.828,18
21123,1,1.833,0.948,9.656000000000006,71.756,71.756,-15.568000000000012,-5.912000000000006,1,3.828,19
29131,1,1.463,0.799,9.259999999999991,20.973000000000013,20.973,-32.97300000000001,-23.712999999999994,1,3.828,20
12385,1,1.67,0.716,-3.820999999999998,94.63400000000001,94.634,13.24799999999999,9.426999999999992,2,3.848,1
29120,1,1.269,0.754,17.259000000000015,23.841000000000008,23.841,-35.182000000000016,-17.923000000000002,2,3.848,2
47126,1,2.278,0.649,36.396000000000015,83.57799999999997,83.578,16.215000000000003,52.61099999999999,2,3.848,3
47121,1,2.16,0.763,21.043000000000006,89.356,89.356,19.85900000000001,40.90199999999999,2,3.848,4
47120,1,2.209,0.555,18.021000000000015,85.67599999999999,85.676,15.373999999999995,33.39500000000001,2,3.848,5
47149,1,1.663,0.938,36.396000000000015,66.60300000000001,66.603,35.19,71.58600000000001,2,3.848,6
48893,1,1.425,1.324,34.192999999999984,51.97200000000001,51.972,-58.846000000000004,-24.65299999999999,2,3.848,7
12177,1,2.066,1.11,93.44799999999998,55.916,55.916,-28.568000000000012,64.88,2,3.848,8
14976,1,1.069,1.1,-36.06,27.435000000000002,27.435,-14.225999999999999,-50.286,2,3.848,9
41661,1,1.922,0.584,57.172,49.599999999999994,49.6,-86.6,-29.427999999999997,2,3.848,10
21123,1,1.833,0.948,9.656000000000006,71.756,71.756,-15.568000000000012,-5.912000000000006,2,3.848,11
29013,1,1.33,0.821,7.699000000000012,22.857,22.857,-25.949000000000012,-18.25,2,3.848,12
