frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
19860,1,1.213,1.433,-30.718999999999994,50.744,50.744,-8.034999999999997,-38.75400000000002,1,2.163,1
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,1,2.163,2
39710,1,1.447,0.872,-49.622000000000014,87.161,87.161,21.352000000000004,-28.27000000000001,1,2.163,3
40910,1,2.632,0.921,12.433999999999997,60.744,60.744,5.856999999999999,18.290999999999997,1,2.163,4
42783,1,1.13,1.098,20.194999999999993,35.643,35.643,-34.55500000000001,-14.360000000000014,1,2.163,5
22713,1,1.184,1.196,-35.76400000000001,33.846000000000004,33.846,-9.593999999999994,-45.358000000000004,1,2.163,6
20507,1,1.169,1.113,40.99799999999999,22.497000000000014,22.497,-59.141999999999996,-18.144000000000005,1,2.163,7
17057,1,1.196,1.158,20.034999999999997,81.767,81.767,-23.15700000000001,-3.122000000000014,1,2.163,8
22981,1,1.248,1.346,-40.78999999999999,23.598000000000013,23.598,6.652999999999992,-34.137,1,2.163,9
190,1,2.787,0.929,13.087999999999994,67.37099999999998,67.371,29.164999999999992,42.252999999999986,1,2.163,10
38488,1,1.359,0.9,-12.00200000000001,74.119,74.119,-14.546999999999997,-26.549000000000007,1,2.163,11
26758,1,2.785,0.887,-9.611999999999995,128.19799999999998,128.198,89.37200000000001,79.75999999999999,1,2.163,12
46434,1,1.148,0.956,-16.271000000000015,49.40299999999999,49.403,-27.581999999999994,-43.85300000000001,1,2.163,13
30498,1,1.032,0.826,40.93799999999999,76.33699999999999,76.337,40.28999999999999,81.22800000000001,1,2.163,14
49447,1,1.333,1.391,-37.17099999999999,65.493,65.493,5.513000000000005,-31.658000000000015,1,2.163,15
48471,1,1.052,1.415,-37.196,49.954999999999984,49.955,-2.007000000000005,-39.203,1,2.163,16
30596,1,1.093,0.62,8.592000000000013,66.62900000000002,66.629,-19.272999999999996,-10.681000000000012,1,2.163,17
1207,1,1.949,1.193,46.15699999999998,70.47300000000001,70.473,-0.2179999999999893,45.93899999999999,1,2.163,18
10418,1,1.986,0.796,2.4329999999999927,93.99799999999999,93.998,45.028999999999996,47.46199999999999,1,2.163,19
1130,1,1.105,0.913,18.605999999999995,24.02199999999999,24.022,-37.623999999999995,-19.018,1,2.163,20
3598,1,0.965,1.344,-26.567000000000007,54.31999999999999,54.32,-11.175000000000011,-37.74199999999999,2,2.175,1
26757,1,2.861,0.926,-6.679000000000002,127.71100000000001,127.711,89.60899999999998,82.93,2,2.175,2
35446,1,1.082,1.319,21.099999999999994,32.625,32.625,-31.694999999999993,-10.594999999999999,2,2.175,3
8303,1,1.17,0.995,2.265999999999991,75.072,75.072,-6.848000000000013,-4.581999999999994,2,2.175,4
12645,1,0.988,0.854,-27.72800000000001,41.595,41.595,-35.67099999999999,-63.399,2,2.175,5
46688,1,1.054,1.075,46.474999999999994,37.06700000000001,37.067,-69.885,-23.409999999999997,2,2.175,6
844,1,1.095,0.925,40.485000000000014,24.46799999999999,24.468,-62.876000000000005,-22.39099999999999,2,2.175,7
49447,1,1.333,1.391,-37.17099999999999,65.493,65.493,5.513000000000005,-31.658000000000015,2,2.175,8
16987,1,1.293,0.756,0.3509999999999991,59.952,59.952,-22.50399999999999,-22.15299999999999,2,2.175,9
30730,1,1.196,0.648,21.99000000000001,83.00999999999999,83.01,49.62299999999999,71.613,2,2.175,10
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,2,2.175,11
39710,1,1.447,0.872,-49.622000000000014,87.161,87.161,21.352000000000004,-28.27000000000001,2,2.175,12
49446,1,1.193,1.362,-39.13900000000001,67.537,67.537,6.248999999999995,-32.889999999999986,2,2.175,13
20314,1,1.353,0.899,-32.620000000000005,63.39099999999999,63.391,-23.804000000000002,-56.42399999999999,2,2.175,14
23010,1,1.01,1.494,5.967999999999989,20.736999999999995,20.737,-42.84100000000001,-36.87299999999999,2,2.175,15
1125,1,1.25,0.67,25.25399999999999,18.71199999999999,18.712,-47.043000000000006,-21.788999999999987,2,2.175,16
10592,1,1.868,0.726,19.47399999999999,65.261,65.261,-1.8590000000000089,17.61500000000001,2,2.175,17
50725,1,1.443,1.308,-13.686000000000007,44.91399999999999,44.914,0.45400000000000773,-13.232,2,2.175,18
8857,1,1.691,0.829,37.647999999999996,73.499,73.499,-6.997000000000014,30.65100000000001,2,2.175,19
190,1,2.787,0.929,13.087999999999994,67.37099999999998,67.371,29.164999999999992,42.252999999999986,2,2.175,20
1209,1,1.952,0.905,48.34700000000001,69.82400000000001,69.824,-7.50800000000001,40.839,3,2.177,1
16987,1,1.293,0.756,0.3509999999999991,59.952,59.952,-22.50399999999999,-22.15299999999999,3,2.177,2
26960,1,1.142,1.071,13.50399999999999,14.752999999999986,14.753,-41.87899999999999,-28.375,3,2.177,3
27606,1,0.97,1.263,-47.492999999999995,38.29599999999999,38.296,1.4269999999999925,-46.066,3,2.177,4
30554,1,0.885,0.594,24.025000000000006,105.43200000000002,105.432,52.99000000000001,77.01499999999999,3,2.177,5
26758,1,2.785,0.887,-9.611999999999995,128.19799999999998,128.198,89.37200000000001,79.75999999999999,3,2.177,6
24700,1,1.262,1.403,-30.060000000000002,40.54599999999999,40.546,-11.418000000000006,-41.47800000000001,3,2.177,7
842,1,1.97,0.875,32.11500000000001,74.346,74.346,0.3830000000000098,32.49799999999999,3,2.177,8
26032,1,1.117,0.858,-1.5800000000000125,81.56299999999999,81.563,-19.864000000000004,-21.444000000000017,3,2.177,9
14542,1,1.22,0.922,56.941,18.47,18.47,-72.176,-15.235000000000014,3,2.177,10
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,3,2.177,11
15228,1,1.566,0.759,-10.608000000000004,56.977000000000004,56.977,-14.153999999999996,-24.762,3,2.177,12
49384,1,1.342,1.569,-13.109000000000009,57.507000000000005,57.507,5.724999999999994,-7.3840000000000146,3,2.177,13
26392,1,1.293,0.969,9.658999999999992,29.155,29.155,-36.13300000000001,-26.47399999999999,3,2.177,14
22713,1,1.184,1.196,-35.76400000000001,33.846000000000004,33.846,-9.593999999999994,-45.358000000000004,3,2.177,15
42783,1,1.13,1.098,20.194999999999993,35.643,35.643,-34.55500000000001,-14.360000000000014,3,2.177,16
19860,1,1.213,1.433,-30.718999999999994,50.744,50.744,-8.034999999999997,-38.75400000000002,3,2.177,17
39710,1,1.447,0.872,-49.622000000000014,87.161,87.161,21.352000000000004,-28.27000000000001,3,2.177,18
30498,1,1.032,0.826,40.93799999999999,76.33699999999999,76.337,40.28999999999999,81.22800000000001,3,2.177,19
190,1,2.787,0.929,13.087999999999994,67.37099999999998,67.371,29.164999999999992,42.252999999999986,3,2.177,20
1196,1,2.121,0.982,40.167,77.156,77.156,17.41300000000001,57.579999999999984,4,2.182,1
30498,1,1.032,0.826,40.93799999999999,76.33699999999999,76.337,40.28999999999999,81.22800000000001,4,2.182,2
22713,1,1.184,1.196,-35.76400000000001,33.846000000000004,33.846,-9.593999999999994,-45.358000000000004,4,2.182,3
17759,1,1.632,0.792,-1.9639999999999986,57.053,57.053,-9.808999999999997,-11.772999999999996,4,2.182,4
10592,1,1.868,0.726,19.47399999999999,65.261,65.261,-1.8590000000000089,17.61500000000001,4,2.182,5
26758,1,2.785,0.887,-9.611999999999995,128.19799999999998,128.198,89.37200000000001,79.75999999999999,4,2.182,6
42783,1,1.13,1.098,20.194999999999993,35.643,35.643,-34.55500000000001,-14.360000000000014,4,2.182,7
14846,1,1.793,0.674,-39.42099999999999,102.233,102.233,27.025000000000006,-12.396000000000015,4,2.182,8
1483,1,3.265,1.014,-39.091999999999985,97.69100000000003,97.691,55.033000000000015,15.941000000000003,4,2.182,9
16987,1,1.293,0.756,0.3509999999999991,59.952,59.952,-22.50399999999999,-22.15299999999999,4,2.182,10
14545,1,1.823,1.053,11.77000000000001,79.81100000000004,79.811,4.740000000000009,16.50999999999999,4,2.182,11
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,4,2.182,12
17050,1,1.469,1.047,29.625,81.90300000000002,81.903,-30.456999999999994,-0.8319999999999936,4,2.182,13
19840,1,1.189,1.463,-38.754999999999995,40.466999999999985,40.467,0.98599999999999,-37.769000000000005,4,2.182,14
32724,1,0.794,1.266,10.847000000000008,19.820999999999998,19.821,-32.22999999999999,-21.38300000000001,4,2.182,15
38488,1,1.359,0.9,-12.00200000000001,74.119,74.119,-14.546999999999997,-26.549000000000007,4,2.182,16
11139,1,0.957,1.177,51.655,18.406000000000006,18.406,-69.876,-18.221000000000004,4,2.182,17
2384,1,1.047,1.344,9.337999999999994,48.107,48.107,-30.384000000000015,-21.045999999999992,4,2.182,18
50725,1,1.443,1.308,-13.686000000000007,44.91399999999999,44.914,0.45400000000000773,-13.232,4,2.182,19
23935,1,0.959,1.532,-34.58699999999999,42.11699999999999,42.117,-2.127999999999986,-36.715,4,2.182,20
19955,1,1.008,1.434,-31.35300000000001,42.66499999999999,42.665,-4.742999999999995,-36.096000000000004,5,2.186,1
1209,1,1.952,0.905,48.34700000000001,69.82400000000001,69.824,-7.50800000000001,40.839,5,2.186,2
26036,1,1.232,0.705,-4.3629999999999995,73.434,73.434,-24.26599999999999,-28.62899999999999,5,2.186,3
31646,1,2.146,0.93,32.864000000000004,67.14499999999998,67.145,45.03399999999999,77.89800000000002,5,2.186,4
17759,1,1.632,0.792,-1.9639999999999986,57.053,57.053,-9.808999999999997,-11.772999999999996,5,2.186,5
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,5,2.186,6
14846,1,1.793,0.674,-39.42099999999999,102.233,102.233,27.025000000000006,-12.396000000000015,5,2.186,7
29568,1,1.271,1.494,-31.182999999999993,42.43299999999999,42.433,-4.469999999999999,-35.65299999999999,5,2.186,8
30498,1,1.032,0.826,40.93799999999999,76.33699999999999,76.337,40.28999999999999,81.22800000000001,5,2.186,9
23442,1,1.205,1.064,38.15100000000001,22.414999999999992,22.415,-58.863,-20.71199999999999,5,2.186,10
16987,1,1.293,0.756,0.3509999999999991,59.952,59.952,-22.50399999999999,-22.15299999999999,5,2.186,11
22713,1,1.184,1.196,-35.76400000000001,33.846000000000004,33.846,-9.593999999999994,-45.358000000000004,5,2.186,12
44560,1,1.025,0.746,-23.269000000000005,25.799000000000007,25.799,-26.450999999999993,-49.72,5,2.186,13
38488,1,1.359,0.9,-12.00200000000001,74.119,74.119,-14.546999999999997,-26.549000000000007,5,2.186,14
26757,1,2.861,0.926,-6.679000000000002,127.71100000000001,127.711,89.60899999999998,82.93,5,2.186,15
49448,1,1.402,1.281,-35.110000000000014,59.031000000000006,59.031,-1.656000000000006,-36.76599999999999,5,2.186,16
1483,1,3.265,1.014,-39.091999999999985,97.69100000000003,97.691,55.033000000000015,15.941000000000003,5,2.186,17
50558,1,1.318,1.331,2.164999999999992,41.821,41.821,-18.24199999999999,-16.076999999999998,5,2.186,18
8857,1,1.691,0.829,37.647999999999996,73.499,73.499,-6.997000000000014,30.65100000000001,5,2.186,19
42783,1,1.13,1.098,20.194999999999993,35.643,35.643,-34.55500000000001,-14.360000000000014,5,2.186,20
1211,1,1.847,0.854,45.997000000000014,69.05700000000002,69.057,-9.385999999999996,36.61099999999999,6,2.192,1
22972,1,1.227,1.482,-26.756,29.36099999999999,29.361,-5.811000000000007,-32.56700000000001,6,2.192,2
10418,1,1.986,0.796,2.4329999999999927,93.99799999999999,93.998,45.028999999999996,47.46199999999999,6,2.192,3
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,6,2.192,4
35914,1,0.983,1.473,-30.363,48.47800000000001,48.478,-12.056999999999988,-42.420000000000016,6,2.192,5
19955,1,1.008,1.434,-31.35300000000001,42.66499999999999,42.665,-4.742999999999995,-36.096000000000004,6,2.192,6
50094,1,1.606,1.172,-15.289999999999992,47.579999999999984,47.58,-1.156000000000006,-16.445999999999998,6,2.192,7
23442,1,1.205,1.064,38.15100000000001,22.414999999999992,22.415,-58.863,-20.71199999999999,6,2.192,8
6315,1,1.381,0.88,27.139999999999986,58.227000000000004,58.227,-29.631,-2.491000000000014,6,2.192,9
39710,1,1.447,0.872,-49.622000000000014,87.161,87.161,21.352000000000004,-28.27000000000001,6,2.192,10
38488,1,1.359,0.9,-12.00200000000001,74.119,74.119,-14.546999999999997,-26.549000000000007,6,2.192,11
26356,1,1.249,1.007,-16.375,19.10499999999999,19.105,-8.593999999999994,-24.968999999999994,6,2.192,12
72,1,1.615,0.99,41.514999999999986,56.019000000000005,56.019,1.1119999999999948,42.62700000000001,6,2.192,13
49447,1,1.333,1.391,-37.17099999999999,65.493,65.493,5.513000000000005,-31.658000000000015,6,2.192,14
42783,1,1.13,1.098,20.194999999999993,35.643,35.643,-34.55500000000001,-14.360000000000014,6,2.192,15
33300,1,0.982,1.206,24.843999999999994,30.99000000000001,30.99,-71.866,-47.02199999999999,6,2.192,16
20282,1,1.343,1.12,-0.2599999999999909,53.01400000000001,53.014,-37.09300000000002,-37.35300000000001,6,2.192,17
14530,1,1.421,0.829,0.8480000000000132,80.89100000000002,80.891,10.863,11.711000000000013,6,2.192,18
26757,1,2.861,0.926,-6.679000000000002,127.71100000000001,127.711,89.60899999999998,82.93,6,2.192,19
30763,1,0.997,0.63,25.048000000000002,81.73500000000001,81.735,42.817999999999984,67.86599999999999,6,2.192,20
30554,1,0.885,0.594,24.025000000000006,105.43200000000002,105.432,52.99000000000001,77.01499999999999,7,2.192,1
8857,1,1.691,0.829,37.647999999999996,73.499,73.499,-6.997000000000014,30.65100000000001,7,2.192,2
49446,1,1.193,1.362,-39.13900000000001,67.537,67.537,6.248999999999995,-32.889999999999986,7,2.192,3
26787,1,3.155,1.077,4.937000000000012,134.47199999999998,134.472,96.43899999999996,101.37599999999998,7,2.192,4
8314,1,1.227,1.04,-0.6589999999999918,80.61000000000001,80.61,-5.611999999999995,-6.270999999999987,7,2.192,5
1698,1,1.485,1.11,23.308999999999997,50.647999999999996,50.648,-59.037000000000006,-35.72800000000001,7,2.192,6
37372,1,1.037,1.62,19.962999999999994,22.181999999999988,22.182,-36.501000000000005,-16.53800000000001,7,2.192,7
42783,1,1.13,1.098,20.194999999999993,35.643,35.643,-34.55500000000001,-14.360000000000014,7,2.192,8
50725,1,1.443,1.308,-13.686000000000007,44.91399999999999,44.914,0.45400000000000773,-13.232,7,2.192,9
19244,1,1.26,1.135,1.475999999999999,23.016999999999996,23.017,-28.863,-27.387,7,2.192,10
14894,1,1.59,0.868,-24.10900000000001,78.11000000000001,78.11,19.37700000000001,-4.731999999999999,7,2.192,11
30762,1,1.08,0.818,26.436000000000007,76.14800000000002,76.148,39.25200000000001,65.68799999999999,7,2.192,12
313,1,1.509,1.387,40.67599999999999,71.971,71.971,-1.4770000000000039,39.19900000000001,7,2.192,13
39710,1,1.447,0.872,-49.622000000000014,87.161,87.161,21.352000000000004,-28.27000000000001,7,2.192,14
25558,1,1.167,0.693,24.489000000000004,57.357,57.357,-30.90700000000001,-6.418000000000006,7,2.192,15
27642,1,0.883,1.385,-23.074000000000012,68.495,68.495,-12.48599999999999,-35.56,7,2.192,16
11139,1,0.957,1.177,51.655,18.406000000000006,18.406,-69.876,-18.221000000000004,7,2.192,17
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,7,2.192,18
49384,1,1.342,1.569,-13.109000000000009,57.507000000000005,57.507,5.724999999999994,-7.3840000000000146,7,2.192,19
22982,1,1.208,1.357,-44.11099999999999,25.158999999999992,25.159,12.977000000000004,-31.134000000000015,7,2.192,20
20282,1,1.343,1.12,-0.2599999999999909,53.01400000000001,53.014,-37.09300000000002,-37.35300000000001,8,2.195,1
38488,1,1.359,0.9,-12.00200000000001,74.119,74.119,-14.546999999999997,-26.549000000000007,8,2.195,2
40910,1,2.632,0.921,12.433999999999997,60.744,60.744,5.856999999999999,18.290999999999997,8,2.195,3
15009,1,1.586,0.818,-20.614000000000004,95.14600000000002,95.146,15.165999999999997,-5.4480000000000075,8,2.195,4
11338,1,1.147,0.949,39.29900000000001,24.76400000000001,24.764,-41.793000000000006,-2.4939999999999998,8,2.195,5
23935,1,0.959,1.532,-34.58699999999999,42.11699999999999,42.117,-2.127999999999986,-36.715,8,2.195,6
23012,1,1.117,1.509,-10.045999999999992,20.585000000000008,20.585,-26.704000000000008,-36.75,8,2.195,7
26032,1,1.117,0.858,-1.5800000000000125,81.56299999999999,81.563,-19.864000000000004,-21.444000000000017,8,2.195,8
39710,1,1.447,0.872,-49.622000000000014,87.161,87.161,21.352000000000004,-28.27000000000001,8,2.195,9
312,1,1.804,1.261,52.599999999999994,68.41300000000001,68.413,-7.619,44.980999999999995,8,2.195,10
26356,1,1.249,1.007,-16.375,19.10499999999999,19.105,-8.593999999999994,-24.968999999999994,8,2.195,11
19841,1,1.043,1.481,-32.153999999999996,41.76400000000001,41.764,-7.757000000000005,-39.911,8,2.195,12
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,8,2.195,13
33680,1,1.104,1.581,-32.376000000000005,54.740999999999985,54.741,-2.8079999999999927,-35.184,8,2.195,14
31646,1,2.146,0.93,32.864000000000004,67.14499999999998,67.145,45.03399999999999,77.89800000000002,8,2.195,15
17654,1,1.256,1.306,28.793000000000006,21.942000000000007,21.942,-42.27199999999999,-13.478999999999985,8,2.195,16
1209,1,1.952,0.905,48.34700000000001,69.82400000000001,69.824,-7.50800000000001,40.839,8,2.195,17
30554,1,0.885,0.594,24.025000000000006,105.43200000000002,105.432,52.99000000000001,77.01499999999999,8,2.195,18
28932,1,3.18,0.987,-30.676999999999992,104.85500000000002,104.855,76.43899999999996,45.762,8,2.195,19
13240,1,1.432,1.03,17.802999999999997,38.235000000000014,38.235,-48.714,-30.911,8,2.195,20
10592,1,1.868,0.726,19.47399999999999,65.261,65.261,-1.8590000000000089,17.61500000000001,9,2.197,1
42783,1,1.13,1.098,20.194999999999993,35.643,35.643,-34.55500000000001,-14.360000000000014,9,2.197,2
14942,1,2.307,1.231,-24.47,91.09199999999998,91.092,33.94400000000002,9.47399999999999,9,2.197,3
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,9,2.197,4
49447,1,1.333,1.391,-37.17099999999999,65.493,65.493,5.513000000000005,-31.658000000000015,9,2.197,5
39710,1,1.447,0.872,-49.622000000000014,87.161,87.161,21.352000000000004,-28.27000000000001,9,2.197,6
49164,1,1.507,0.966,-9.800000000000011,37.372000000000014,37.372,-24.458,-34.25800000000001,9,2.197,7
16987,1,1.293,0.756,0.3509999999999991,59.952,59.952,-22.50399999999999,-22.15299999999999,9,2.197,8
19841,1,1.043,1.481,-32.153999999999996,41.76400000000001,41.764,-7.757000000000005,-39.911,9,2.197,9
30730,1,1.196,0.648,21.99000000000001,83.00999999999999,83.01,49.62299999999999,71.613,9,2.197,10
26960,1,1.142,1.071,13.50399999999999,14.752999999999986,14.753,-41.87899999999999,-28.375,9,2.197,11
8303,1,1.17,0.995,2.265999999999991,75.072,75.072,-6.848000000000013,-4.581999999999994,9,2.197,12
11139,1,0.957,1.177,51.655,18.406000000000006,18.406,-69.876,-18.221000000000004,9,2.197,13
50725,1,1.443,1.308,-13.686000000000007,44.91399999999999,44.914,0.45400000000000773,-13.232,9,2.197,14
22868,1,0.998,1.388,20.89500000000001,28.12700000000001,28.127,-63.74199999999999,-42.84700000000001,9,2.197,15
1389,1,1.598,1.265,39.64099999999999,72.314,72.314,-3.647999999999996,35.992999999999995,9,2.197,16
17050,1,1.469,1.047,29.625,81.90300000000002,81.903,-30.456999999999994,-0.8319999999999936,9,2.197,17
416,1,1.705,0.979,45.492999999999995,55.912000000000006,55.912,56.18299999999999,101.67599999999999,9,2.197,18
48471,1,1.052,1.415,-37.196,49.954999999999984,49.955,-2.007000000000005,-39.203,9,2.197,19
26757,1,2.861,0.926,-6.679000000000002,127.71100000000001,127.711,89.60899999999998,82.93,9,2.197,20
26757,1,2.861,0.926,-6.679000000000002,127.71100000000001,127.711,89.60899999999998,82.93,10,2.2,1
40822,1,2.655,0.786,21.23400000000001,52.501000000000005,52.501,-4.181999999999988,17.051999999999992,10,2.2,2
190,1,2.787,0.929,13.087999999999994,67.37099999999998,67.371,29.164999999999992,42.252999999999986,10,2.2,3
10592,1,1.868,0.726,19.47399999999999,65.261,65.261,-1.8590000000000089,17.61500000000001,10,2.2,4
19103,1,1.443,0.627,-30.85900000000001,65.207,65.207,10.764999999999986,-20.093999999999994,10,2.2,5
1389,1,1.598,1.265,39.64099999999999,72.314,72.314,-3.647999999999996,35.992999999999995,10,2.2,6
48903,1,1.344,1.053,-6.510999999999996,54.877999999999986,54.878,-1.5889999999999986,-8.099999999999994,10,2.2,7
33849,1,0.821,1.495,-25.67500000000001,57.26400000000001,57.264,-8.850999999999999,-34.52600000000001,10,2.2,8
19841,1,1.043,1.481,-32.153999999999996,41.76400000000001,41.764,-7.757000000000005,-39.911,10,2.2,9
16987,1,1.293,0.756,0.3509999999999991,59.952,59.952,-22.50399999999999,-22.15299999999999,10,2.2,10
22713,1,1.184,1.196,-35.76400000000001,33.846000000000004,33.846,-9.593999999999994,-45.358000000000004,10,2.2,11
19864,1,1.336,1.414,51.361999999999995,22.75999999999999,22.76,-64.5,-13.138000000000005,10,2.2,12
20192,1,1.076,1.128,46.206999999999994,14.094999999999999,14.095,-74.792,-28.585000000000008,10,2.2,13
39710,1,1.447,0.872,-49.622000000000014,87.161,87.161,21.352000000000004,-28.27000000000001,10,2.2,14
12208,1,1.011,1.106,87.88800000000003,13.175999999999988,13.176,-71.749,16.13900000000001,10,2.2,15
