frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
18193,1,1.777,0.993,-16.90700000000001,44.518,44.518,1.247000000000014,-15.659999999999997,1,2.303,1
49381,1,0.776,1.028,-82.831,13.372000000000014,13.372,67.06299999999999,-15.768,1,2.303,2
44855,1,2.027,1.255,-27.599999999999994,76.053,76.053,6.432999999999993,-21.167,1,2.303,3
36312,1,1.15,1.068,7.787000000000006,79.77499999999998,79.775,-24.52000000000001,-16.733000000000004,1,2.303,4
47854,1,0.851,1.082,-6.628999999999991,7.8089999999999975,7.809,5.975999999999999,-0.6529999999999916,1,2.303,5
45048,1,1.185,0.948,-34.16,83.28300000000002,83.283,-5.437000000000012,-39.59700000000001,1,2.303,6
46812,1,1.208,0.783,23.762,61.173,61.173,-40.56900000000002,-16.807000000000016,1,2.303,7
48861,1,1.48,0.956,33.25200000000001,89.481,89.481,37.327,70.57900000000001,1,2.303,8
48779,1,1.05,0.741,41.054,65.64499999999998,65.645,28.63300000000001,69.68700000000001,1,2.303,9
44322,1,1.576,1.376,-35.434,89.52600000000001,89.526,24.093999999999994,-11.340000000000003,1,2.303,10
13176,1,1.343,0.84,-10.211000000000013,26.022999999999996,26.023,-14.329000000000008,-24.539999999999992,1,2.303,11
36311,1,0.913,0.893,7.974999999999994,83.11099999999999,83.111,-21.549000000000007,-13.574000000000012,1,2.303,12
24120,1,0.572,1.238,88.45299999999997,37.043000000000006,37.043,-73.608,14.844999999999999,1,2.303,13
49441,1,0.865,1.312,-67.409,9.100999999999999,9.101,56.821,-10.588000000000022,1,2.303,14
47412,1,1.176,1.209,-60.36,13.461999999999989,13.462,60.411,0.05099999999998772,1,2.303,15
44176,1,1.288,1.115,-37.158000000000015,72.56299999999999,72.563,18.413999999999987,-18.744,1,2.303,16
48883,1,1.032,0.704,47.787000000000006,61.953,61.953,10.834000000000003,58.62100000000001,1,2.303,17
27886,1,0.767,0.998,58.077,10.649000000000001,10.649,-45.25,12.826999999999998,1,2.303,18
31374,1,2.196,0.722,26.568000000000012,76.39600000000002,76.396,64.16899999999998,90.73699999999997,1,2.303,19
22898,1,1.415,1.383,13.796999999999997,86.22899999999998,86.229,-28.681999999999988,-14.884999999999991,1,2.303,20
45048,1,1.185,0.948,-34.16,83.28300000000002,83.283,-5.437000000000012,-39.59700000000001,2,2.313,1
39697,1,1.193,0.738,4.4950000000000045,76.14699999999999,76.147,-30.61699999999999,-26.122000000000014,2,2.313,2
44320,1,1.456,0.594,-40.40299999999999,91.25400000000002,91.254,27.48599999999999,-12.917000000000002,2,2.313,3
36311,1,0.913,0.893,7.974999999999994,83.11099999999999,83.111,-21.549000000000007,-13.574000000000012,2,2.313,4
44285,1,1.597,0.926,-37.095,68.89699999999999,68.897,26.09700000000001,-10.99799999999999,2,2.313,5
36312,1,1.15,1.068,7.787000000000006,79.77499999999998,79.775,-24.52000000000001,-16.733000000000004,2,2.313,6
48866,1,1.425,0.811,38.054,89.51300000000003,89.513,29.960000000000008,68.01400000000001,2,2.313,7
47854,1,0.851,1.082,-6.628999999999991,7.8089999999999975,7.809,5.975999999999999,-0.6529999999999916,2,2.313,8
10133,1,1.203,1.26,25.688999999999993,51.51400000000001,51.514,-52.732,-27.043000000000006,2,2.313,9
