frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
6571,1,1.323,0.918,24.828000000000003,15.818000000000012,15.818,-47.516999999999996,-22.688999999999993,1,1.835,1
41092,1,1.28,0.645,-5.153999999999996,51.536,51.536,-44.959,-50.113,1,1.835,2
46715,1,1.118,0.937,-14.995000000000005,81.29599999999999,81.296,-9.084000000000003,-24.079000000000008,1,1.835,3
8882,1,1.845,0.947,-44.41499999999999,89.22399999999999,89.224,31.301999999999992,-13.113,1,1.835,4
11952,1,1.279,1.052,-22.673000000000002,83.46199999999999,83.462,-13.405000000000001,-36.078,1,1.835,5
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,1,1.835,6
32294,1,1.395,0.796,-67.565,35.197,35.197,28.068000000000012,-39.497000000000014,1,1.835,7
18641,1,1.043,0.771,19.834000000000003,60.778999999999996,60.779,18.336000000000013,38.170000000000016,1,1.835,8
7865,1,1.085,1.105,-10.817000000000007,58.718999999999994,58.719,-14.734000000000009,-25.550999999999988,1,1.835,9
44197,1,1.289,0.888,28.951999999999998,97.82100000000003,97.821,56.48599999999999,85.43799999999999,1,1.835,10
15813,1,1.366,0.924,-4.421999999999997,71.63999999999999,71.64,-22.542,-26.964,1,1.835,11
6185,1,3.851,0.538,62.507000000000005,71.945,71.945,0.3120000000000118,62.81900000000002,1,1.835,12
27048,1,1.214,1.04,-92.16,-27.87700000000001,27.877,81.82,-10.340000000000003,1,1.835,13
130,1,2.423,0.873,29.728999999999985,67.79399999999998,67.794,-1.882000000000005,27.84700000000001,1,1.835,14
41350,1,1.697,0.806,-32.131,66.297,66.297,13.119,-19.012,1,1.835,15
32215,1,1.111,1.187,-61.144000000000005,25.16900000000001,25.169,20.226,-40.918000000000006,1,1.835,16
34107,1,1.603,1.017,18.296999999999997,66.26400000000001,66.264,-22.723000000000013,-4.425999999999988,1,1.835,17
50349,1,0.971,1.391,-8.219999999999999,58.83699999999999,58.837,-25.474999999999994,-33.69499999999999,1,1.835,18
15958,1,0.909,0.73,-79.854,-9.824000000000012,9.824,99.51300000000003,19.65900000000002,1,1.835,19
37805,1,1.389,1.167,20.91300000000001,50.38300000000001,50.383,-27.146000000000015,-6.233000000000004,1,1.835,20
46713,1,0.963,1.133,-20.212999999999994,87.40199999999999,87.402,-12.139999999999986,-32.35300000000001,2,1.835,1
25547,1,1.646,1.103,-59.92099999999999,34.343999999999994,34.344,10.957999999999998,-48.962999999999994,2,1.835,2
6014,1,3.912,0.567,56.46800000000002,76.80399999999997,76.804,2.9850000000000136,59.453,2,1.835,3
34164,1,2.312,1.202,-46.90899999999999,39.744,39.744,17.947000000000003,-28.96199999999999,2,1.835,4
49827,1,0.832,0.905,-72.146,7.439999999999998,7.44,63.965,-8.180999999999983,2,1.835,5
1644,1,1.326,0.797,-29.531000000000006,64.649,64.649,1.3160000000000025,-28.215000000000003,2,1.835,6
41350,1,1.697,0.806,-32.131,66.297,66.297,13.119,-19.012,2,1.835,7
33300,1,2.013,0.804,33.30199999999999,88.77199999999999,88.772,16.863,50.16499999999999,2,1.835,8
20301,1,1.342,0.845,-19.353999999999985,59.453,59.453,-15.954000000000008,-35.30799999999999,2,1.835,9
27063,1,1.122,1.001,-82.212,-18.461000000000013,18.461,74.47199999999998,-7.740000000000009,2,1.835,10
136,1,2.242,0.883,26.501000000000005,68.75900000000001,68.759,-6.778999999999996,19.72200000000001,2,1.835,11
43191,1,1.266,0.731,31.562000000000012,94.01099999999997,94.011,53.66300000000001,85.22500000000002,2,1.835,12
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,2,1.835,13
15953,1,1.005,0.852,-25.456999999999994,-9.431000000000012,9.431,45.00399999999999,19.546999999999997,2,1.835,14
24198,1,1.002,1.441,-24.38499999999999,54.271000000000015,54.271,-11.00800000000001,-35.393,2,1.835,15
37247,1,1.515,1.022,-13.350999999999999,57.021000000000015,57.021,-3.179000000000002,-16.53,2,1.835,16
38032,1,1.06,0.843,-5.746000000000009,70.043,70.043,-38.860000000000014,-44.605999999999995,2,1.835,17
15609,1,1.412,1.028,25.596000000000004,62.983000000000004,62.983,22.873999999999995,48.47,2,1.835,18
45493,1,1.077,1.166,25.057999999999993,57.247000000000014,57.247,-36.865999999999985,-11.807999999999993,2,1.835,19
17181,1,1.123,1.05,62.82400000000001,34.899,34.899,-71.942,-9.117999999999995,2,1.835,20
41350,1,1.697,0.806,-32.131,66.297,66.297,13.119,-19.012,3,1.855,1
13119,1,1.547,0.784,-10.826999999999998,39.34700000000001,39.347,7.661000000000001,-3.165999999999997,3,1.855,2
40364,1,0.696,0.938,-20.87100000000001,4.796999999999997,4.797,12.920999999999992,-7.949999999999989,3,1.855,3
33296,1,2.047,0.721,45.111999999999995,76.06600000000003,76.066,10.436000000000007,55.548,3,1.855,4
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,3,1.855,5
8452,1,0.787,0.736,45.599999999999994,50.706999999999994,50.707,-58.67699999999999,-13.076999999999998,3,1.855,6
46713,1,0.963,1.133,-20.212999999999994,87.40199999999999,87.402,-12.139999999999986,-32.35300000000001,3,1.855,7
43958,1,1.343,1.298,-39.726,56.254999999999995,56.255,1.1999999999999886,-38.52600000000001,3,1.855,8
136,1,2.242,0.883,26.501000000000005,68.75900000000001,68.759,-6.778999999999996,19.72200000000001,3,1.855,9
6014,1,3.912,0.567,56.46800000000002,76.80399999999997,76.804,2.9850000000000136,59.453,3,1.855,10
41092,1,1.28,0.645,-5.153999999999996,51.536,51.536,-44.959,-50.113,3,1.855,11
21292,1,0.819,1.504,-17.64500000000001,56.486999999999995,56.487,-17.865999999999985,-35.510999999999996,3,1.855,12
34913,1,1.246,1.091,10.949000000000012,73.97399999999999,73.974,-14.87100000000001,-3.921999999999997,3,1.855,13
44268,1,1.266,0.731,31.562000000000012,94.01099999999997,94.011,53.66300000000001,85.22500000000002,3,1.855,14
15958,1,0.909,0.73,-79.854,-9.824000000000012,9.824,99.51300000000003,19.65900000000002,3,1.855,15
6618,1,0.885,0.916,-45.16899999999998,7.501000000000005,7.501,37.977000000000004,-7.192000000000007,3,1.855,16
39404,1,1.08,0.778,-21.698000000000008,94.10899999999998,94.109,-4.038000000000011,-25.73599999999999,3,1.855,17
