frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
43548,1,0.91,0.829,48.567999999999984,15.989000000000004,15.989,-76.483,-27.91500000000002,1,3.117,1
40520,1,1.603,0.908,53.456999999999994,60.863,60.863,-41.394000000000005,12.062999999999988,1,3.117,2
28793,1,1.26,1.086,-34.285,108.77499999999998,108.775,-21.960000000000008,-56.245000000000005,1,3.117,3
264,1,2.837,1.155,60.456999999999994,72.65199999999999,72.652,17.426999999999992,77.88400000000001,1,3.117,4
825,1,2.213,0.824,30.837999999999994,75.38400000000001,75.384,12.482,43.31999999999999,1,3.117,5
3539,1,0.993,1.969,-19.581999999999994,29.99000000000001,29.99,-18.364000000000004,-37.946,1,3.117,6
44184,1,1.302,0.855,38.393,28.214,28.214,-64.334,-25.941000000000003,1,3.117,7
9366,1,1.544,0.935,-3.467000000000013,37.63300000000001,37.633,-50.212999999999994,-53.68000000000001,1,3.117,8
48833,1,1.42,1.389,-6.030000000000001,38.420000000000016,38.42,-24.486999999999995,-30.516999999999996,1,3.117,9
28774,1,1.281,1.152,-36.351,108.755,108.755,-10.40100000000001,-46.75200000000001,1,3.117,10
526,1,1.806,1.005,9.388000000000005,73.311,73.311,23.843999999999994,33.232,1,3.117,11
6988,1,1.123,1.86,-26.86500000000001,14.098000000000013,14.098,-18.312999999999988,-45.178,1,3.117,12
23112,1,1.201,1.08,-9.730999999999995,105.17700000000002,105.177,-28.573000000000008,-38.304,1,3.117,13
262,1,2.751,1.319,67.29500000000002,64.701,64.701,15.527999999999992,82.82299999999998,1,3.117,14
793,1,2.118,0.789,15.911000000000001,81.28700000000003,81.287,39.38300000000001,55.29399999999998,1,3.117,15
5099,1,0.984,1.531,-20.754999999999995,32.97800000000001,32.978,-43.997000000000014,-64.752,1,3.117,16
1040,1,1.591,0.761,-2.8360000000000127,46.236999999999995,46.237,-22.372000000000014,-25.208,1,3.117,17
9177,1,1.4,0.888,-7.336999999999989,39.93600000000001,39.936,-44.93799999999999,-52.275000000000006,1,3.117,18
528,1,1.773,0.771,9.619,70.34100000000001,70.341,30.002999999999986,39.622000000000014,1,3.117,19
