title,receptor_1,receptor_2,receptor_3,receptor_4,receptor_5,receptor_6,receptor_7,receptor_8,receptor_9,receptor_10,receptor_11,receptor_12,receptor_13,receptor_14,receptor_15,receptor_16,receptor_17,receptor_18,receptor_19,receptor_20,receptor_21,receptor_22,receptor_23,receptor_24,receptor_25,receptor_26,receptor_27,receptor_28,receptor_29,receptor_30,receptor_31,receptor_32,receptor_33,receptor_34,receptor_35,receptor_36,receptor_37,receptor_38,receptor_39,receptor_40,receptor_41,receptor_42,receptor_43,receptor_44,receptor_45,receptor_46,receptor_47,receptor_48,receptor_49,receptor_50
Gatto_2009_11,-4.677,-6.405,-4.873,-6.254,-7.721,-5.507,-6.436,-7.95,-7.437,-7.184,-7.009,-6.081,-7.949,-6.655,-6.702,-6.132,-6.334,-4.623,-5.425,-7.526,-6.278,-6.111,-6.121,-6.051,-6.036,-5.747,-7.515,-6.141,-6.739,-5.421,-6.26,-6.011,-6.199,-5.997,-5.81,-5.351,-5.477,-6.792,-5.896,-5.742,-6.409,-5.604,-5.1,-5.805,-6.379,-6.629,-6.073,-5.613,-6.333,-6.629
Gatto_2009_5,-5.257,-4.796,-5.222,-5.369,-7.417,-4.935,-5.339,-8.038,-7.632,-6.984,-6.227,-5.139,-7.605,-6.176,-5.876,-5.159,-8.51,-4.822,-4.858,-6.339,-6.003,-6.495,-7.301,-6.431,-5.792,-6.754,-7.097,-6.093,-6.681,-6.057,-6.199,-6.889,-5.421,-5.134,-5.406,-5.412,-4.416,-4.549,-5.061,-5.367,-6.368,-5.365,-5.697,-4.915,-5.621,-5.437,-6.166,-5.5,-5.566,-6.837
Gatto_2009_9,-5.176,-5.589,-4.932,-6.353,-6.671,-6.129,-6.433,-8.632,-7.365,-7.275,-6.335,-5.705,-4.412,-5.85,-6.588,-5.99,-6.271,-5.942,-4.984,-7.569,-5.883,-5.966,-6.664,-6.203,-6.99,-5.733,-7.92,-7.03,-7.067,-5.256,-6.107,-5.681,-5.651,-4.578,-5.44,-5.232,-6.079,-5.383,-4.093,-4.955,-5.919,-5.188,-5.347,-6.367,-6.502,-6.019,-6.874,-5.551,-6.015,-6.51
6-aminoquinoline_1.mol,-4.372,-5.719,-5.103,-4.004,-6.793,-4.609,-5.71,-6.335,-6.78,-6.387,-5.939,-6.002,-6.31,-6.514,-5.895,-5.131,-4.569,-5.065,-4.339,-4.225,-4.627,-4.952,-4.998,-4.737,-6.191,-6.303,-7.217,-5.007,-5.415,-4.935,-4.894,-4.98,-4.84,-5.384,-4.965,-3.742,-4.77,-4.964,-3.804,-4.216,-5.539,-4.638,-5.317,-5.373,-5.923,-5.276,-4.639,-5.984,-5.056,-5.376
He_2005_1,-4.936,-4.272,-4.679,-4.895,-5.4,-5.252,-4.909,-6.83,-5.963,-5.816,-5.944,-4.608,-4.961,-5.54,-4.742,-5.525,-6.178,-4.89,-4.776,-4.925,-5.073,-5.693,-5.26,-4.843,-5.301,-6.047,-5.565,-5.867,-5.212,-5.767,-5.069,-4.61,-4.77,-4.485,-3.848,-4.601,-5.125,-4.637,-4.641,-5.847,-3.773,-4.804,-4.883,-5.076,-5.35,-4.935,-4.921,-5.135,-4.969,-5.393
joly_2010_3,-5.86,-5.142,-5.207,-5.605,-6.763,-5.629,-5.717,-8.019,-8.336,-7.397,-7.101,-6.914,-7.039,-6.322,-6.114,-5.608,-8.247,-5.845,-5.598,-7.236,-6.164,-6.571,-6.417,-7.253,-5.725,-5.682,-8.167,-6.921,-6.351,-6.475,-7.883,-6.672,-5.095,-6.69,-5.808,-5.764,-5.695,-5.2,-4.838,-7.493,-6.453,-5.985,-5.815,-6.312,-6.26,-7.072,-5.864,-5.883,-6.523,-7.362
OptTAR_Fixed_ligprep_20260117_0.5.maegz:7,-4.296,-4.866,-4.979,-4.65,-6.345,-5.402,-5.698,-6.56,-6.301,-5.896,-5.508,-5.15,-5.848,-6.223,-6.025,-5.267,-5.503,-4.86,-4.966,-5.191,-5.106,-5.505,-5.335,-5.384,-5.086,-6.663,-5.733,-5.441,-6.024,-4.627,-5.01,-5.167,-5.131,-4.396,-4.907,-4.712,-5.644,-4.837,-4.521,-5.675,-5.11,-4.31,-4.589,-4.835,-5.627,-5.326,-5.278,-4.649,-4.688,-5.483
C19H18ClN3,-5.683,-6.238,-5.724,-6.05,-7.186,-6.488,-6.3,-7.468,-6.477,-7.295,-6.761,-6.921,-7.436,-5.555,-5.493,-5.466,-7.199,-5.199,-6.1,-6.158,-7.267,-5.796,-5.782,-5.799,-6.635,-6.528,-6.952,-6.117,-7.031,-5.745,-5.947,-5.543,-5.224,-5.186,-5.117,-5.021,-5.251,-4.785,-5.045,-6.5,-6.387,-5.12,-5.174,-5.208,-6.349,-5.606,-5.114,-5.261,-5.491,-5.551
C16H12F3N3OS,-5.468,-3.594,-4.168,-3.948,-6.209,-4.9,-6.28,-7.474,-6.578,-7.06,-5.888,-4.96,-6.556,-6.302,-4.728,-5.193,-6.833,-3.973,-3.92,-5.659,-6.6,-5.937,-5.41,-5.493,-4.884,-5.217,-6.879,-5.412,-6.362,-4.995,-5.699,-5.817,-4.929,-4.821,-3.864,-4.615,-5.727,-3.908,-4.247,-5.537,-4.591,-4.964,-4.417,-5.241,-5.039,-5.074,-5.121,-4.749,-4.699,-5.86
C20H13F3N4OS,-4.726,-3.876,-4.262,-3.953,-6.066,-5.667,-5.157,-7.024,-6.787,-6.58,-6.073,-4.119,-6.514,-5.543,-4.891,-5.784,-7.775,-4.994,-4.021,-5.568,-6.167,-5.55,-5.101,-5.481,-5.536,-5.327,-7.074,-5.655,-6.445,-6.266,-5.664,-5.524,-4.331,-5.033,-5.364,-3.96,-4.415,-3.976,-3.895,-5.185,-5.504,-4.926,-5.646,-6.103,-4.943,-5.001,-5.514,-6.164,-4.841,-5.68
C22H21N5O5,-5.42,-5.205,-5.488,-4.786,-7.087,-5.64,-6.659,-7.84,-6.974,-6.985,-6.463,-5.803,-6.992,-6.568,-6.442,-6.129,-6.74,-4.648,-4.652,-6.58,-6.132,-6.513,-6.734,-6.309,-6.65,-8.131,-6.577,-6.3,-7.055,-6.127,-6.09,-6.072,-6.193,-5.133,-5.228,-5.421,-5.961,-6.48,-5.188,-6.306,-6.427,-5.497,-6.194,-6.228,-5.981,-6.041,-5.623,-5.977,-5.874,-7.057
C21H21N5O5,-6.353,-5.16,-5.619,-5.278,-6.373,-7.253,-6.541,-8.124,-7.943,-7.871,-6.445,-4.852,-7.295,-7.063,-6.755,-6.358,-8.573,-5.384,-5.036,-6.35,-6.446,-6.456,-6.581,-6.114,-6.532,-6.637,-7.444,-7.43,-7.913,-6.106,-6.5,-6.392,-5.237,-4.76,-5.495,-5.776,-6.635,-5.711,-4.885,-6.516,-6.261,-6.453,-6.244,-6.396,-6.702,-6.92,-5.772,-6.176,-5.772,-7.07
86577807extra_5,-5.857,-5.759,-4.534,-5.447,-7.083,-5.937,-5.761,-6.648,-6.984,-6.142,-7.227,-7.115,-6.522,-6.147,-5.383,-6.707,-6.806,-5.732,-4.314,-4.48,-5.913,-6.143,-5.971,-5.964,-6.021,-6.355,-7.38,-6.559,-6.245,-6.952,-6.257,-6.335,-4.859,-4.837,-4.665,-4.021,-6.067,-6.201,-4.432,-7.495,-6.339,-6.152,-5.846,-5.803,-5.466,-5.86,-6.243,-6.204,-5.144,-6.483
