title,receptor_1,receptor_2,receptor_3,receptor_4,receptor_5,receptor_6,receptor_7,receptor_8,receptor_9,receptor_10,receptor_11,receptor_12,receptor_13,receptor_14,receptor_15,receptor_16,receptor_17,receptor_18,receptor_19,receptor_20,receptor_21,receptor_22,receptor_23,receptor_24,receptor_25,receptor_26,receptor_27,receptor_28,receptor_29,receptor_30,receptor_31,receptor_32,receptor_33,receptor_34,receptor_35,receptor_36,receptor_37,receptor_38,receptor_39,receptor_40,receptor_41,receptor_42,receptor_43,receptor_44,receptor_45,receptor_46,receptor_47,receptor_48,receptor_49,receptor_50
Gatto_2009_11,-5.842,-5.729,-5.451,-6.527,-6.1,-7.413,-5.187,-5.174,-5.577,-6.384,-6.45,-5.569,-6.475,-7.894,-6.108,-7.206,-7.865,-7.191,-6.095,-5.796,-6.8,-6.254,-4.931,-5.565,-5.284,-6.303,-5.924,-5.573,-7.02,-6.268,-7.805,-5.912,-5.824,-5.98,-5.794,-6.91,-6.165,-6.732,-5.632,-5.631,-7.299,-6.998,-7.326,-4.699,-5.437,-6.565,-7.263,-5.461,-5.427,-4.247
Gatto_2009_5,-6.624,-6.641,-4.376,-4.579,-5.891,-5.353,-4.586,-4.522,-5.176,-5.801,-5.677,-6.445,-5.944,-7.771,-5.795,-7.181,-6.941,-7.418,-5.494,-5.442,-6.115,-6.513,-5.66,-5.261,-6.575,-5.685,-5.732,-8.339,-7.171,-6.908,-5.149,-7.202,-7.54,-6.224,-4.946,-6.183,-6.534,-5.152,-4.655,-6.662,-6.417,-4.679,-4.782,-4.353,-4.885,-6.202,-7.41,-5.929,-6.007,-4.945
Gatto_2009_9,-6.071,-5.416,-4.319,-5.134,-6.163,-5.714,-5.866,-5.147,-5.653,-6.578,-6.094,-5.789,-6.738,-6.938,-6.238,-7.492,-8.0,-7.3,-5.513,-5.476,-6.362,-6.153,-5.663,-4.774,-6.444,-5.452,-4.869,-5.823,-8.524,-6.458,-6.626,-7.653,-5.986,-6.173,-5.751,-7.065,-6.424,-4.678,-5.645,-6.225,-7.571,-5.775,-4.628,-4.569,-5.458,-6.227,-6.784,-5.241,-4.604,-5.221
6-aminoquinoline_1.mol,-4.652,-4.604,-5.075,-4.24,-4.658,-5.806,-5.461,-4.819,-5.074,-4.677,-5.105,-4.216,-6.008,-7.244,-5.09,-6.854,-6.507,-6.888,-5.289,-4.935,-6.479,-6.135,-4.74,-5.226,-5.59,-4.051,-4.95,-4.356,-6.686,-6.639,-5.009,-5.901,-6.691,-5.304,-5.623,-4.469,-4.699,-5.793,-6.002,-5.084,-4.97,-5.231,-4.253,-4.585,-4.036,-4.989,-5.587,-4.608,-4.708,-3.868
He_2005_1,-5.433,-6.1,-4.421,-4.848,-4.704,-4.028,-4.61,-3.911,-4.618,-4.759,-4.499,-5.368,-6.263,-6.159,-6.17,-4.682,-6.86,-6.505,-6.855,-4.577,-5.637,-4.839,-4.197,-5.259,-5.103,-5.111,-4.674,-6.847,-6.014,-6.232,-6.122,-5.048,-5.307,-6.235,-5.402,-5.164,-4.659,-5.272,-4.584,-4.927,-5.982,-4.996,-4.568,-4.024,-5.067,-4.101,-4.924,-4.817,-5.065,-5.197
joly_2010_3,-6.913,-6.822,-5.287,-5.269,-5.714,-6.83,-5.834,-5.499,-5.037,-5.738,-6.804,-6.729,-6.888,-7.681,-6.603,-6.913,-6.855,-7.212,-6.625,-6.631,-7.609,-6.95,-5.668,-6.044,-6.461,-7.023,-5.689,-8.835,-6.968,-7.08,-6.438,-7.357,-7.995,-5.812,-5.133,-7.677,-6.758,-6.128,-6.402,-6.199,-6.94,-5.895,-5.422,-4.562,-5.696,-5.903,-6.818,-6.188,-5.725,-5.04
OptTAR_Fixed_ligprep_20260117_0.5.maegz:7,-5.674,-4.866,-5.202,-5.308,-5.543,-5.244,-5.378,-5.152,-5.299,-4.877,-4.907,-5.524,-5.657,-6.368,-5.576,-6.281,-7.489,-6.884,-6.271,-6.157,-5.454,-6.104,-5.482,-5.525,-4.571,-6.594,-5.424,-4.524,-5.147,-5.856,-5.63,-6.491,-6.472,-5.239,-4.739,-5.711,-5.66,-5.227,-4.604,-6.178,-6.319,-5.154,-4.478,-4.125,-5.513,-4.825,-5.23,-4.525,-4.763,-4.908
C19H18ClN3,-6.034,-6.321,-3.93,-5.799,-6.58,-5.23,-6.987,-5.696,-5.611,-5.82,-5.493,-5.88,-5.95,-7.996,-6.472,-8.383,-8.166,-8.062,-5.65,-5.168,-6.365,-5.55,-4.93,-4.485,-5.156,-4.548,-6.094,-6.687,-6.749,-8.769,-6.314,-7.065,-6.851,-5.024,-4.756,-5.876,-6.198,-6.152,-5.097,-5.897,-5.325,-6.183,-6.094,-5.542,-6.037,-5.815,-4.794,-4.693,-5.135,-5.354
C16H12F3N3OS,-5.532,-5.773,-4.299,-4.943,-5.642,-6.631,-4.765,-4.235,-4.661,-4.52,-6.16,-5.095,-6.893,-6.215,-5.016,-6.277,-6.058,-5.791,-6.123,-4.337,-6.166,-4.978,-4.047,-4.326,-5.069,-6.053,-6.578,-7.767,-6.259,-5.942,-6.45,-6.006,-7.018,-5.01,-4.69,-5.605,-5.459,-5.644,-5.487,-5.087,-5.395,-5.454,-4.369,-4.214,-4.641,-5.045,-5.146,-4.691,-5.213,-5.6
C20H13F3N4OS,-6.094,-6.593,-5.08,-4.686,-4.407,-5.526,-4.303,-4.594,-5.018,-4.614,-6.339,-6.032,-5.707,-6.295,-5.903,-6.771,-6.855,-7.068,-4.995,-6.282,-6.826,-5.824,-5.259,-5.495,-5.168,-4.681,-4.925,-4.767,-6.621,-6.451,-6.917,-7.722,-6.891,-4.984,-4.39,-5.73,-6.049,-5.576,-4.471,-5.292,-6.454,-5.376,-4.172,-3.561,-5.538,-6.159,-5.744,-5.143,-5.401,-4.695
