title,receptor_1,receptor_2,receptor_3,receptor_4,receptor_5,receptor_6,receptor_7,receptor_8,receptor_9,receptor_10,receptor_11,receptor_12,receptor_13,receptor_14,receptor_15,receptor_16,receptor_17,receptor_18,receptor_19,receptor_20,receptor_21,receptor_22,receptor_23,receptor_24,receptor_25,receptor_26,receptor_27,receptor_28,receptor_29,receptor_30,receptor_31,receptor_32,receptor_33,receptor_34,receptor_35,receptor_36,receptor_37,receptor_38,receptor_39,receptor_40,receptor_41,receptor_42,receptor_43,receptor_44,receptor_45,receptor_46,receptor_47,receptor_48,receptor_49,receptor_50
Gatto_2009_11,-7.254,-4.821,-5.684,-6.414,-6.265,-5.634,-6.431,-5.268,-5.74,-5.867,-6.177,-6.742,-4.663,-4.21,-5.708,-6.029,-5.376,-6.66,-6.078,-7.056,-5.404,-5.093,-8.697,-4.624,-5.453,-6.455,-5.716,-5.996,-6.03,-4.862,-6.482,-5.517,-6.003,-7.076,-7.167,-6.681,-6.216,-5.835,-4.949,-5.435,-4.85,-6.723,-6.617,-7.648,-5.409,-5.051,-6.175,-6.051,-6.788,-6.916
Gatto_2009_5,-8.177,-4.396,-5.723,-6.089,-5.919,-5.859,-5.88,-5.436,-5.515,-5.289,-6.644,-5.096,-5.061,-5.266,-5.842,-6.464,-5.43,-5.433,-6.001,-6.125,-5.625,-5.429,-7.579,-6.064,-5.878,-5.349,-4.838,-7.112,-4.99,-5.564,-6.085,-6.126,-6.06,-7.054,-7.199,-5.947,-5.507,-5.268,-4.904,-5.851,-5.667,-5.77,-6.743,-6.946,-5.298,-5.013,-5.979,-7.262,-5.725,-5.805
Gatto_2009_9,-6.736,-4.835,-5.829,-6.092,-5.845,-6.512,-6.031,-5.392,-5.984,-6.242,-5.602,-6.491,-4.415,-4.721,-5.212,-4.687,-4.775,-6.277,-6.639,-6.418,-4.686,-5.817,-8.59,-5.092,-5.668,-6.346,-5.747,-6.778,-5.505,-4.99,-6.397,-5.084,-7.026,-8.24,-6.534,-7.462,-5.861,-6.569,-4.866,-5.846,-5.022,-6.981,-5.261,-6.836,-5.641,-5.394,-5.613,-6.58,-5.166,-6.431
6-aminoquinoline_1.mol,-7.045,-5.182,-3.963,-5.056,-5.479,-5.919,-5.061,-5.347,-4.924,-5.529,-4.956,-5.118,-3.818,-5.332,-4.431,-4.195,-4.147,-4.53,-5.145,-5.375,-4.053,-4.939,-7.698,-4.543,-4.776,-4.666,-5.014,-6.408,-4.552,-5.052,-5.727,-4.021,-6.102,-5.697,-5.643,-7.607,-4.901,-4.035,-4.53,-4.841,-4.48,-5.743,-3.831,-6.174,-4.452,-4.517,-5.432,-5.153,-4.154,-4.889
He_2005_1,-6.259,-4.232,-5.247,-5.647,-5.866,-6.231,-5.259,-4.937,-6.431,-5.085,-4.497,-4.779,-5.105,-4.423,-4.585,-4.197,-4.58,-5.348,-5.826,-5.585,-4.815,-4.895,-6.449,-4.485,-5.731,-5.67,-4.725,-5.409,-5.221,-5.701,-4.44,-5.554,-5.575,-6.196,-5.87,-5.277,-4.25,-4.227,-5.045,-4.801,-4.847,-5.388,-5.895,-3.861,-4.778,-4.931,-5.19,-5.346,-5.05,-6.164
joly_2010_3,-7.424,-4.885,-6.736,-5.837,-6.358,-5.782,-5.668,-6.104,-6.741,-5.386,-5.583,-5.924,-4.931,-6.02,-5.631,-5.911,-4.7,-5.622,-6.912,-7.213,-6.004,-5.775,-7.649,-4.724,-6.279,-7.116,-6.015,-7.583,-5.411,-6.92,-6.202,-5.374,-7.344,-7.293,-6.8,-6.869,-5.303,-6.626,-6.584,-4.849,-5.114,-5.995,-6.582,-8.163,-6.132,-5.363,-6.031,-7.786,-7.406,-4.128
OptTAR_Fixed_ligprep_20260117_0.5.maegz:7,-6.23,-5.026,-5.2,-4.306,-5.28,-5.606,-5.288,-4.531,-5.121,-5.462,-4.978,-4.516,-4.233,-4.891,-5.089,-4.689,-3.948,-4.983,-5.081,-5.305,-4.37,-4.396,-5.983,-5.079,-5.149,-6.095,-4.821,-5.801,-4.749,-4.828,-6.104,-4.876,-4.978,-5.816,-5.788,-4.777,-4.876,-4.477,-4.895,-5.224,-4.361,-5.723,-4.83,-5.53,-4.863,-4.653,-4.939,-5.172,-4.531,-5.556
C19H18ClN3,-8.527,-6.273,-4.954,-5.761,-6.313,-6.563,-4.974,-5.574,-5.968,-6.494,-4.879,-5.01,-4.895,-4.493,-5.271,-5.965,-5.099,-5.565,-5.551,-6.286,-5.126,-4.845,-7.451,-5.504,-5.95,-6.786,-6.834,-6.458,-4.701,-5.732,-6.344,-4.719,-6.624,-5.942,-5.763,-5.847,-5.212,-5.131,-5.916,-6.089,-4.71,-5.789,-5.326,-6.633,-6.086,-4.308,-5.846,-4.726,-6.222,-7.127
C16H12F3N3OS,-6.85,-3.632,-5.473,-4.46,-5.756,-5.871,-5.081,-4.523,-6.151,-5.019,-5.733,-5.392,-4.394,-5.076,-5.048,-4.467,-3.898,-5.459,-5.902,-5.809,-4.617,-4.97,-7.883,-4.661,-5.186,-6.231,-5.019,-6.263,-4.526,-4.546,-4.664,-5.063,-6.121,-6.973,-6.485,-6.149,-4.597,-4.048,-4.58,-4.688,-3.677,-5.841,-5.146,-6.254,-5.043,-4.768,-4.553,-5.276,-5.687,-5.619
C20H13F3N4OS,-6.795,-4.011,-5.126,-5.269,-5.792,-5.018,-5.69,-4.664,-5.948,-5.114,-5.863,-6.087,-4.424,-4.601,-5.61,-5.279,-4.582,-6.049,-5.404,-6.071,-4.737,-5.364,-8.122,-4.624,-4.718,-5.144,-4.373,-6.804,-4.439,-5.515,-5.378,-4.956,-6.019,-6.759,-6.159,-5.054,-5.235,-4.364,-4.728,-4.868,-4.539,-5.598,-5.179,-4.394,-5.67,-4.445,-4.818,-5.516,-5.63,-5.399
