title,receptor_1,receptor_2,receptor_3,receptor_4,receptor_5,receptor_6,receptor_7,receptor_8,receptor_9,receptor_10,receptor_11,receptor_12,receptor_13,receptor_14,receptor_15,receptor_16,receptor_17,receptor_18,receptor_19,receptor_20,receptor_21,receptor_22,receptor_23,receptor_24,receptor_25,receptor_26,receptor_27,receptor_28,receptor_29,receptor_30,receptor_31,receptor_32,receptor_33,receptor_34,receptor_35,receptor_36,receptor_37,receptor_38,receptor_39,receptor_40,receptor_41,receptor_42,receptor_43,receptor_44,receptor_45,receptor_46,receptor_47,receptor_48,receptor_49,receptor_50
Gatto_2009_11,-5.532,-6.749,-5.87,-6.097,-6.906,-6.444,-6.542,-6.432,-6.71,-7.26,-5.901,-6.076,-6.2,-4.697,-6.439,-6.22,-5.457,-5.361,-6.488,-4.842,-4.862,-5.853,-7.274,-6.453,-5.708,-4.766,-6.544,-7.734,-5.651,-6.375,-5.341,-5.016,-5.278,-5.126,-4.004,-5.612,-5.138,-6.572,-5.422,-6.043,-5.698,-5.756,-6.292,-6.431,-6.805,-7.068,-5.13,-5.649,-5.099,-5.612
Gatto_2009_5,-6.667,-6.394,-6.284,-6.191,-7.139,-5.7,-5.664,-6.159,-6.722,-6.251,-5.081,-7.596,-5.791,-6.807,-7.208,-5.52,-5.377,-4.799,-5.391,-5.662,-4.994,-5.528,-6.954,-5.702,-6.081,-5.146,-8.238,-8.302,-6.984,-5.559,-5.875,-5.324,-5.63,-5.518,-5.269,-5.357,-5.681,-6.013,-6.04,-5.884,-6.657,-5.746,-5.567,-6.938,-7.099,-6.513,-5.647,-5.436,-5.529,-5.473
Gatto_2009_9,-4.866,-5.587,-5.641,-5.024,-7.004,-6.084,-5.168,-7.123,-6.404,-6.8,-5.307,-7.56,-5.474,-5.71,-5.754,-6.576,-5.077,-4.754,-5.77,-5.625,-4.94,-5.994,-7.314,-6.395,-5.619,-5.739,-7.407,-8.782,-5.71,-6.623,-5.403,-4.427,-6.17,-5.592,-4.305,-4.484,-4.789,-6.812,-6.157,-5.925,-6.035,-4.859,-5.124,-5.941,-6.457,-7.096,-5.719,-4.628,-4.74,-5.262
6-aminoquinoline_1.mol,-5.024,-5.929,-5.803,-4.768,-6.466,-5.614,-4.898,-5.348,-5.958,-6.324,-4.839,-5.116,-5.99,-5.172,-4.395,-4.908,-4.363,-4.15,-4.149,-5.454,-3.819,-4.769,-4.973,-4.563,-4.279,-3.943,-6.348,-7.125,-4.388,-5.915,-4.369,-4.212,-5.215,-5.188,-4.748,-5.198,-5.379,-4.428,-4.993,-5.08,-5.452,-5.101,-5.431,-5.376,-6.373,-5.715,-4.197,-4.682,-4.965,-5.403
He_2005_1,-5.506,-4.337,-4.082,-5.077,-4.606,-5.358,-4.777,-5.246,-5.494,-5.545,-5.102,-6.831,-5.031,-4.957,-7.114,-5.392,-4.876,-4.953,-4.913,-4.587,-4.415,-5.497,-4.37,-4.865,-4.348,-5.576,-7.247,-7.129,-4.757,-5.028,-4.13,-5.808,-5.015,-5.571,-5.405,-5.184,-5.151,-4.917,-4.996,-4.225,-5.853,-4.974,-4.801,-4.565,-4.737,-4.23,-5.093,-4.751,-5.601,-5.604
joly_2010_3,-7.38,-5.403,-4.855,-5.943,-6.213,-5.085,-5.668,-5.669,-7.139,-6.226,-5.096,-7.905,-5.563,-5.82,-6.263,-5.868,-5.717,-6.127,-6.055,-5.611,-5.887,-6.721,-6.023,-7.733,-6.806,-6.604,-7.428,-7.428,-6.191,-5.749,-5.549,-6.822,-6.193,-5.027,-5.265,-5.896,-6.448,-6.401,-5.912,-6.242,-6.201,-5.641,-6.86,-6.879,-7.228,-5.8,-6.215,-6.088,-6.116,-7.025
OptTAR_Fixed_ligprep_20260117_0.5.maegz:7,-6.034,-5.125,-4.938,-4.629,-5.701,-5.125,-4.929,-5.359,-5.33,-6.155,-5.647,-5.653,-4.884,-4.519,-5.584,-4.881,-5.113,-4.548,-5.492,-5.156,-4.673,-5.435,-5.022,-4.981,-5.282,-4.838,-5.342,-7.12,-4.434,-5.606,-4.578,-5.407,-5.302,-4.361,-4.363,-5.092,-4.877,-4.528,-4.975,-4.339,-5.744,-4.647,-5.352,-5.005,-5.627,-4.98,-4.739,-4.715,-4.472,-5.173
C19H18ClN3,-5.82,-6.113,-5.607,-5.281,-6.546,-5.397,-5.624,-6.15,-7.057,-7.989,-5.016,-7.757,-4.947,-5.833,-6.129,-5.241,-5.496,-4.505,-5.978,-5.082,-5.367,-5.756,-6.694,-4.499,-6.457,-5.46,-7.1,-6.234,-5.151,-4.997,-5.298,-6.654,-4.529,-5.188,-5.079,-5.691,-5.822,-4.996,-5.948,-6.337,-5.587,-5.685,-4.881,-6.142,-6.108,-5.007,-5.736,-5.762,-5.944,-5.563
C16H12F3N3OS,-6.539,-5.064,-4.841,-5.131,-5.523,-5.402,-5.185,-4.823,-6.17,-5.985,-5.269,-7.439,-5.239,-5.254,-7.873,-4.812,-4.99,-3.899,-4.68,-4.874,-5.156,-5.044,-4.725,-4.849,-4.631,-5.051,-6.3,-6.77,-5.257,-4.916,-5.381,-4.515,-4.719,-4.837,-5.115,-6.025,-4.79,-4.664,-4.975,-4.708,-6.238,-3.953,-5.452,-6.13,-5.058,-5.661,-5.753,-5.407,-5.533,-6.345
C20H13F3N4OS,-4.631,-5.226,-3.996,-5.675,-6.395,-5.324,-6.201,-4.612,-5.23,-6.25,-4.946,-7.813,-4.903,-6.081,-4.676,-5.092,-4.224,-4.529,-4.97,-4.479,-4.852,-4.93,-4.713,-5.872,-5.65,-5.256,-7.922,-8.774,-5.109,-5.284,-5.82,-3.882,-5.789,-4.84,-4.697,-5.049,-5.786,-5.513,-4.685,-5.089,-6.282,-4.028,-5.738,-6.317,-5.968,-4.757,-4.815,-5.167,-6.109,-5.457
