title,receptor_1,receptor_2,receptor_3,receptor_4,receptor_5,receptor_6,receptor_7,receptor_8,receptor_9,receptor_10,receptor_11,receptor_12,receptor_13,receptor_14,receptor_15,receptor_16,receptor_17,receptor_18,receptor_19,receptor_20,receptor_21,receptor_22,receptor_23,receptor_24,receptor_25,receptor_26,receptor_27,receptor_28,receptor_29,receptor_30,receptor_31,receptor_32,receptor_33,receptor_34,receptor_35,receptor_36,receptor_37,receptor_38,receptor_39,receptor_40,receptor_41,receptor_42,receptor_43,receptor_44,receptor_45,receptor_46,receptor_47,receptor_48,receptor_49,receptor_50
Gatto_2009_11,-4.981,-5.562,-6.323,-5.047,-6.907,-5.647,-6.073,-6.125,-5.294,-5.874,-7.167,-5.956,-7.452,-4.521,-6.174,-5.674,-5.359,-5.576,-4.408,-5.513,-6.552,-5.743,-6.698,-4.643,-3.993,-4.358,-6.889,-5.927,-5.756,-5.476,-4.626,-5.189,-5.424,-5.189,-5.588,-4.224,-4.891,-5.422,-4.796,-6.007,-6.858,-6.996,-6.719,-7.507,-8.366,-7.582,-8.331,-6.134,-6.893,-5.383
Gatto_2009_5,-4.567,-8.574,-5.355,-5.202,-6.43,-5.81,-5.521,-6.253,-4.959,-5.749,-6.348,-6.319,-6.951,-5.073,-4.286,-5.981,-5.575,-4.852,-5.478,-5.832,-6.204,-5.623,-6.392,-5.216,-5.047,-4.96,-4.978,-5.52,-5.83,-6.075,-4.559,-5.52,-5.762,-5.519,-5.596,-4.862,-4.53,-5.295,-5.205,-5.197,-7.308,-6.859,-7.066,-7.648,-7.864,-7.573,-7.361,-5.933,-6.146,-5.144
Gatto_2009_9,-4.016,-4.675,-6.777,-5.228,-5.809,-5.217,-4.982,-5.885,-4.918,-6.137,-6.979,-6.342,-8.501,-4.364,-5.081,-5.599,-4.503,-5.031,-4.799,-5.638,-6.229,-6.304,-6.685,-4.667,-3.995,-4.073,-4.306,-5.863,-5.613,-5.692,-5.371,-3.843,-5.208,-5.0,-6.399,-5.261,-5.344,-4.337,-4.897,-5.84,-6.231,-7.458,-6.406,-6.585,-8.435,-7.606,-7.208,-5.63,-6.404,-6.177
6-aminoquinoline_1.mol,-3.842,-4.615,-5.804,-4.844,-6.092,-5.25,-5.144,-5.686,-5.654,-5.735,-5.839,-3.676,-5.6,-4.012,-3.882,-4.479,-4.776,-4.565,-3.927,-5.187,-5.227,-4.568,-5.633,-4.981,-4.597,-4.678,-4.375,-4.316,-4.75,-5.365,-4.337,-4.509,-3.951,-4.395,-7.019,-3.818,-4.528,-4.367,-3.86,-4.871,-5.194,-6.48,-5.315,-5.729,-6.156,-6.703,-5.711,-4.888,-5.337,-4.787
He_2005_1,-4.17,-5.779,-4.953,-4.523,-4.735,-5.061,-5.412,-4.088,-4.551,-4.771,-5.332,-5.107,-5.709,-4.03,-4.435,-4.671,-4.472,-4.91,-5.221,-4.887,-5.857,-6.052,-5.123,-4.379,-4.82,-4.739,-5.072,-5.118,-5.284,-4.975,-5.386,-4.716,-4.466,-4.83,-4.221,-4.871,-4.785,-4.69,-4.403,-4.843,-5.21,-5.609,-6.304,-6.072,-6.544,-5.542,-5.907,-5.241,-5.123,-4.735
joly_2010_3,-4.449,-4.676,-6.608,-6.748,-6.11,-6.212,-7.384,-6.139,-5.09,-6.168,-6.722,-6.443,-6.325,-4.469,-6.457,-6.063,-6.094,-6.462,-5.882,-5.809,-6.442,-7.054,-6.507,-5.2,-5.037,-5.785,-7.14,-5.946,-6.716,-6.824,-6.572,-5.641,-5.644,-5.572,-6.53,-5.363,-5.249,-5.339,-5.629,-5.449,-6.221,-6.877,-7.161,-8.054,-8.339,-6.835,-7.429,-6.53,-6.59,-5.831
OptTAR_Fixed_ligprep_20260117_0.5.maegz:7,-3.995,-5.871,-5.075,-5.244,-6.037,-5.363,-5.539,-4.776,-4.678,-5.897,-5.051,-5.112,-5.704,-4.542,-5.352,-5.373,-4.887,-4.85,-5.288,-4.373,-5.107,-6.064,-5.385,-4.735,-4.295,-4.413,-4.915,-5.424,-4.404,-5.093,-4.63,-5.842,-5.274,-4.547,-7.139,-6.374,-6.857,-4.957,-4.648,-4.557,-5.204,-6.65,-5.964,-6.42,-6.411,-6.446,-6.558,-5.082,-5.254,-4.972
C19H18ClN3,-4.775,-7.289,-5.929,-5.443,-6.091,-5.334,-6.961,-6.053,-4.701,-5.662,-6.786,-5.924,-5.795,-4.036,-5.147,-4.997,-4.945,-4.965,-6.103,-5.439,-5.397,-5.485,-6.547,-5.709,-5.003,-5.779,-6.142,-5.622,-5.051,-5.929,-5.765,-6.232,-5.642,-5.587,-8.203,-5.895,-6.496,-5.25,-5.35,-5.654,-5.617,-7.02,-6.361,-7.44,-8.328,-7.614,-6.33,-5.211,-5.532,-4.871
C16H12F3N3OS,-4.114,-6.434,-5.63,-5.001,-5.479,-6.339,-6.537,-5.864,-5.731,-6.018,-5.91,-5.539,-5.888,-4.716,-5.357,-5.078,-4.657,-5.057,-5.022,-4.367,-4.868,-5.531,-5.203,-4.193,-4.577,-4.706,-4.307,-5.715,-4.89,-5.223,-4.476,-5.216,-4.802,-4.269,-6.806,-5.222,-4.231,-5.393,-4.49,-5.101,-6.19,-6.413,-6.428,-6.439,-6.875,-6.452,-6.059,-5.286,-5.417,-4.517
C20H13F3N4OS,-4.966,-5.079,-6.584,-5.393,-6.135,-7.007,-7.333,-5.537,-5.727,-5.667,-6.722,-4.755,-6.463,-4.013,-4.33,-5.54,-5.472,-4.793,-5.355,-5.606,-5.061,-6.175,-5.335,-4.708,-4.544,-5.065,-4.448,-5.296,-4.928,-5.055,-5.048,-5.149,-5.414,-4.911,-7.448,-4.501,-4.476,-4.686,-4.963,-4.865,-6.483,-6.435,-5.653,-6.641,-7.876,-6.538,-6.558,-5.634,-6.166,-4.924
