conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,1.47,1.64,58.12,61.114,61.114,-61.521,-3.4010000000000034,
receptor_10,1,2.33,1.77,8.713,63.737,63.737,-9.714,-1.0010000000000012,WARNING! Helix 1 RMSD > 2.0
receptor_11,1,2.53,1.57,67.209,42.963,42.963,-60.618,6.591000000000001,WARNING! Helix 1 RMSD > 2.0
receptor_12,1,2.56,1.73,108.573,49.451,49.451,50.282,158.855,WARNING! Helix 1 RMSD > 2.0
receptor_13,1,2.93,1.85,66.757,28.839,28.839,-22.474,44.283,WARNING! Helix 1 RMSD > 2.0
receptor_14,1,2.22,1.95,68.794,46.442,46.442,-29.888,38.90599999999999,WARNING! Helix 1 RMSD > 2.0
receptor_15,1,2.04,1.47,39.207,67.349,67.349,20.556,59.763000000000005,WARNING! Helix 1 RMSD > 2.0
receptor_16,1,2.38,1.96,70.185,25.209,25.209,13.292,83.477,WARNING! Helix 1 RMSD > 2.0
receptor_17,1,1.73,2.16,39.66,68.915,68.915,-36.253,3.4069999999999965,WARNING! Helix 2 RMSD > 2.0
receptor_18,1,2.69,1.95,-84.318,-79.665,79.665,89.692,5.373999999999995,WARNING! Helix 1 RMSD > 2.0
receptor_19,1,2.2,1.88,72.345,35.752,35.752,-42.724,29.621000000000002,WARNING! Helix 1 RMSD > 2.0
receptor_2,1,1.5,1.43,81.222,58.652,58.652,-83.946,-2.7240000000000038,
receptor_20,1,1.72,1.78,41.694,50.516,50.516,-58.126,-16.431999999999995,
receptor_3,1,2.03,1.22,70.621,32.421,32.421,-37.421,33.199999999999996,WARNING! Helix 1 RMSD > 2.0
receptor_4,1,1.46,2.04,70.835,51.583,51.583,-27.084,43.75099999999999,WARNING! Helix 2 RMSD > 2.0
receptor_5,1,1.75,1.42,12.963,43.53,43.53,-19.502,-6.539,
receptor_6,1,1.96,1.24,65.712,159.385,159.385,85.51,151.222,
receptor_7,1,2.39,1.51,-3.032,40.486,40.486,20.201,17.169,WARNING! Helix 1 RMSD > 2.0
receptor_8,1,1.64,1.52,75.897,43.806,43.806,-75.583,0.31400000000000716,
receptor_9,1,2.25,1.65,63.706,65.919,65.919,-74.215,-10.509,WARNING! Helix 1 RMSD > 2.0
