conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,0.98,1.22,-76.892,-10.107,10.107,48.842,-28.049999999999997,
receptor_10,1,1.42,1.64,-88.606,-16.537,16.537,79.733,-8.87299999999999,
receptor_11,1,1.27,1.21,-20.992,10.944,10.944,2.651,-18.341,
receptor_12,1,1.1,1.02,4.257,18.51,18.51,-27.574,-23.317,
receptor_13,1,1.02,0.89,-51.149,30.836,30.836,40.72,-10.429000000000002,
receptor_14,1,0.83,1.26,-49.828,11.532,11.532,34.855,-14.973000000000006,
receptor_15,1,1.04,1.41,-102.2,-16.28,16.28,77.302,-24.897999999999996,
receptor_16,1,1.03,1.14,55.805,22.856,22.856,-75.959,-20.154000000000003,
receptor_17,1,1.25,1.22,-93.289,-21.169,21.169,79.017,-14.272000000000006,
receptor_18,1,1.14,1.56,22.881,-8.295,8.295,-31.425,-8.544,
receptor_19,1,1.41,1.41,-96.066,8.462,8.462,73.399,-22.667,
receptor_2,1,1.18,1.43,-83.779,-19.516,19.516,56.376,-27.403,
receptor_20,1,0.94,1.15,74.97,21.171,21.171,-101.332,-26.361999999999995,
receptor_3,1,1.0,1.05,-68.645,-18.76,18.76,38.404,-30.240999999999993,
receptor_4,1,1.14,1.31,-17.734,14.275,14.275,0.129,-17.605,
receptor_5,1,1.08,1.28,39.183,9.908,9.908,-49.446,-10.262999999999998,
receptor_6,1,1.4,1.58,-19.379,17.148,17.148,4.783,-14.596,
receptor_7,1,1.15,0.95,-47.961,32.996,32.996,40.256,-7.704999999999998,
receptor_8,1,1.07,1.16,66.693,7.935,7.935,-93.887,-27.194000000000003,
receptor_9,1,1.3,1.22,12.169,13.452,13.452,-30.905,-18.736,
