conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,1.0,0.87,-4.392,62.312,62.312,-8.178,-12.57,
receptor_10,1,0.88,0.79,12.4,64.477,64.477,-4.745,7.655,
receptor_11,1,0.95,0.78,21.409,60.063,60.063,-10.741,10.668,
receptor_12,1,1.05,0.99,4.522,74.576,74.576,-0.643,3.8790000000000004,
receptor_2,1,1.15,0.8,9.869,67.182,67.182,-9.948,-0.07900000000000063,
receptor_3,1,1.0,0.83,2.068,70.098,70.098,-2.793,-0.7250000000000001,
receptor_4,1,1.06,0.79,1.751,72.189,72.189,1.498,3.2489999999999997,
receptor_5,1,1.07,0.8,-4.765,67.213,67.213,3.423,-1.3419999999999996,
receptor_6,1,1.03,0.81,0.691,57.646,57.646,-11.563,-10.872,
receptor_7,1,1.03,0.83,1.975,62.297,62.297,-5.649,-3.674,
receptor_8,1,0.98,0.83,13.329,60.597,60.597,-2.287,11.042000000000002,
receptor_9,1,1.16,0.76,3.645,57.951,57.951,-7.354,-3.709,
