conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,1.75,1.31,57.036,-2.874,2.874,-75.185,-18.149,
receptor_10,1,1.91,1.27,-67.128,51.624,51.624,71.839,4.7109999999999985,
receptor_11,1,2.06,1.19,-49.411,49.838,49.838,69.881,20.47,WARNING! Helix 1 RMSD > 2.0
receptor_12,1,1.79,1.54,-37.825,51.016,51.016,35.441,-2.3840000000000003,
receptor_13,1,1.64,1.27,-39.346,62.361,62.361,55.574,16.228,
receptor_14,1,2.03,1.31,18.096,-4.459,4.459,-35.88,-17.784000000000002,WARNING! Helix 1 RMSD > 2.0
receptor_15,1,1.67,1.5,-8.347,18.38,18.38,-1.2,-9.546999999999999,
receptor_16,1,1.66,1.48,-43.347,55.862,55.862,38.282,-5.065000000000005,
receptor_17,1,1.78,1.2,63.177,-11.746,11.746,-73.872,-10.695,
receptor_2,1,2.3,1.19,67.216,-30.713,30.713,-73.783,-6.567000000000007,WARNING! Helix 1 RMSD > 2.0
receptor_3,1,1.89,1.19,-84.499,30.725,30.725,80.601,-3.897999999999996,
receptor_4,1,2.26,1.42,-64.501,33.707,33.707,69.037,4.536000000000001,WARNING! Helix 1 RMSD > 2.0
receptor_5,1,1.76,1.36,-45.157,24.925,24.925,46.647,1.490000000000002,
receptor_6,1,2.02,1.6,7.051,10.5,10.5,-19.318,-12.267000000000001,WARNING! Helix 1 RMSD > 2.0
receptor_7,1,1.81,1.13,73.646,-27.523,27.523,-86.71,-13.063999999999993,
receptor_8,1,1.91,1.3,73.781,-16.468,16.468,-87.006,-13.224999999999994,
receptor_9,1,2.02,1.46,-46.176,53.238,53.238,54.752,8.576,WARNING! Helix 1 RMSD > 2.0
