conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,1.08,1.14,17.854,35.087,35.087,29.849,47.703,
receptor_10,1,1.29,1.04,16.593,59.208,59.208,57.084,73.677,
receptor_11,1,0.93,1.26,34.374,53.407,53.407,12.536,46.910000000000004,
receptor_12,1,1.23,1.4,29.447,20.73,20.73,20.488,49.935,
receptor_13,1,1.75,1.28,24.226,40.516,40.516,50.345,74.571,
receptor_14,1,1.53,0.92,6.22,52.502,52.502,57.165,63.385,
receptor_15,1,1.3,1.14,21.646,28.324,28.324,13.667,35.313,
receptor_16,1,1.59,1.22,8.365,52.793,52.793,51.641,60.006,
receptor_2,1,0.99,1.11,22.91,54.484,54.484,33.626,56.536,
receptor_3,1,1.62,0.93,12.74,57.374,57.374,47.69,60.43,
receptor_4,1,1.43,1.45,15.079,34.2,34.2,55.548,70.62700000000001,
receptor_5,1,1.61,1.22,25.872,33.05,33.05,48.074,73.946,
receptor_6,1,1.46,1.07,12.659,40.128,40.128,50.628,63.287,
receptor_7,1,0.89,1.11,19.657,54.51,54.51,34.169,53.82599999999999,
receptor_8,1,0.85,1.36,41.635,42.615,42.615,9.674,51.309,
receptor_9,1,1.24,1.33,28.162,23.012,23.012,26.005,54.167,
