conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,0.71,0.68,-28.207,24.382,24.382,25.746,-2.461000000000002,
receptor_10,1,0.64,0.62,-15.396,19.157,19.157,-3.485,-18.881,
receptor_11,1,0.7,0.82,-41.462,24.991,24.991,19.601,-21.861000000000004,
receptor_12,1,0.53,0.53,-34.127,46.895,46.895,25.653,-8.474000000000004,
receptor_13,1,0.57,0.65,-46.488,27.86,27.86,18.566,-27.922,
receptor_14,1,0.73,0.74,-20.789,23.433,23.433,10.843,-9.946000000000002,
receptor_15,1,0.53,0.56,-27.849,51.327,51.327,-2.218,-30.067,
receptor_16,1,0.62,0.79,-44.545,28.713,28.713,45.166,0.6209999999999951,
receptor_17,1,0.54,0.69,-56.238,26.1,26.1,32.312,-23.926000000000002,
receptor_18,1,0.48,0.46,-37.09,31.499,31.499,12.43,-24.660000000000004,
receptor_19,1,0.4,0.63,-51.993,47.24,47.24,28.86,-23.133000000000003,
receptor_2,1,0.98,0.89,-37.489,105.409,105.409,-2.441,-39.93,
receptor_20,1,1.45,0.83,-44.953,94.052,94.052,42.683,-2.270000000000003,
receptor_3,1,0.79,0.67,-42.891,26.642,26.642,37.544,-5.347000000000001,
receptor_4,1,0.62,0.7,-26.602,15.396,15.396,16.722,-9.879999999999999,
receptor_5,1,0.6,0.62,-31.871,50.813,50.813,9.025,-22.845999999999997,
receptor_6,1,0.39,0.59,-32.665,18.225,18.225,12.705,-19.96,
receptor_7,1,0.83,0.61,-60.112,27.257,27.257,52.335,-7.777000000000001,
receptor_8,1,0.62,0.54,-45.639,57.367,57.367,21.591,-24.048000000000002,
receptor_9,1,0.77,0.54,-44.603,37.363,37.363,39.527,-5.0760000000000005,
