conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,0.73,0.71,-74.462,-8.332,8.332,72.81,-1.652000000000001,
receptor_10,1,1.41,0.48,27.553,54.727,54.727,-3.593,23.96,
receptor_11,1,1.57,0.49,12.529,57.032,57.032,-12.242,0.28699999999999903,
receptor_12,1,1.83,0.5,21.833,61.562,61.562,-66.764,-44.931,
receptor_13,1,0.69,0.56,12.085,67.775,67.775,-15.558,-3.472999999999999,
receptor_14,1,0.59,0.48,22.02,70.454,70.454,-14.823,7.196999999999999,
receptor_15,1,2.16,0.61,-19.402,68.789,68.789,24.858,5.4559999999999995,WARNING! Helix 1 RMSD > 2.0
receptor_16,1,0.56,0.62,18.762,86.26,86.26,-10.98,7.782,
receptor_17,1,0.6,0.49,-9.169,88.885,88.885,-9.457,-18.626,
receptor_18,1,0.59,0.48,-37.548,89.563,89.563,20.281,-17.267000000000003,
receptor_19,1,2.68,0.49,-57.438,96.332,96.332,31.905,-25.533,WARNING! Helix 1 RMSD > 2.0
receptor_2,1,0.7,0.49,73.841,9.804,9.804,-69.851,3.989999999999995,
receptor_20,1,0.65,0.48,-36.021,114.885,114.885,31.071,-4.949999999999999,
receptor_3,1,0.56,0.74,-25.385,8.917,8.917,12.952,-12.433000000000002,
receptor_4,1,0.68,0.49,88.453,11.192,11.192,-88.056,0.39700000000000557,
receptor_5,1,0.51,0.49,-30.914,16.87,16.87,9.549,-21.365000000000002,
receptor_6,1,0.46,0.49,-54.735,23.954,23.954,15.741,-38.994,
receptor_7,1,0.48,0.67,-60.268,25.218,25.218,23.672,-36.596000000000004,
receptor_8,1,0.79,0.48,-88.894,33.397,33.397,79.814,-9.080000000000013,
receptor_9,1,0.56,0.48,51.883,57.523,57.523,-47.079,4.804000000000002,
