conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,1.37,0.76,-13.013,71.014,71.014,3.475,-9.538,
receptor_10,1,1.33,0.82,7.699,22.857,22.857,-25.949,-18.25,
receptor_11,1,1.8,1.15,33.377,32.435,32.435,-56.458,-23.080999999999996,
receptor_12,1,1.27,0.75,17.259,23.841,23.841,-35.182,-17.923000000000002,
receptor_13,1,1.54,0.97,-1.589,53.636,53.636,-41.508,-43.097,
receptor_14,1,1.92,0.58,57.172,49.6,49.6,-86.6,-29.427999999999997,
receptor_15,1,1.06,0.97,-35.223,80.504,80.504,-3.673,-38.896,
receptor_16,1,2.21,0.56,18.021,85.676,85.676,15.374,33.395,WARNING! Helix 1 RMSD > 2.0
receptor_17,1,2.16,0.76,21.043,89.356,89.356,19.859,40.902,WARNING! Helix 1 RMSD > 2.0
receptor_18,1,2.28,0.65,36.396,83.578,83.578,16.215,52.611000000000004,WARNING! Helix 1 RMSD > 2.0
receptor_19,1,1.66,0.94,36.396,66.603,66.603,35.19,71.586,
receptor_2,1,2.07,1.11,93.448,55.916,55.916,-28.568,64.88,WARNING! Helix 1 RMSD > 2.0
receptor_20,1,1.42,1.32,34.193,51.972,51.972,-58.846,-24.653,
receptor_3,1,1.57,1.03,0.514,90.213,90.213,9.652,10.165999999999999,
receptor_4,1,1.5,1.06,-28.625,34.183,34.183,-32.925,-61.55,
receptor_5,1,1.48,0.85,-30.315,29.922,29.922,-18.471,-48.786,
receptor_6,1,1.14,1.14,-10.934,36.843,36.843,-31.809,-42.743,
receptor_7,1,1.49,1.08,12.338,69.438,69.438,-19.412,-7.074,
receptor_8,1,1.83,0.95,9.656,71.756,71.756,-15.568,-5.911999999999999,
receptor_9,1,1.79,0.86,3.029,21.497,21.497,-22.254,-19.225,
