conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,1.6,1.26,39.641,72.314,72.314,-3.648,35.992999999999995,
receptor_10,1,0.86,1.65,-16.059,37.78,37.78,-29.04,-45.099000000000004,
receptor_11,1,3.16,1.08,4.937,134.472,134.472,96.439,101.37599999999999,WARNING! Helix 1 RMSD > 2.0
receptor_12,1,1.03,0.83,40.938,76.337,76.337,40.29,81.22800000000001,
receptor_13,1,1.08,0.82,26.436,76.148,76.148,39.252,65.688,
receptor_14,1,1.22,1.54,-40.108,38.078,38.078,0.554,-39.553999999999995,
receptor_15,1,1.36,0.9,-12.002,74.119,74.119,-14.547,-26.549,
receptor_16,1,1.45,0.87,-49.622,87.161,87.161,21.352,-28.27,
receptor_17,1,1.13,1.1,20.195,35.643,35.643,-34.555,-14.36,
receptor_18,1,1.34,1.57,-13.109,57.507,57.507,5.725,-7.384,
receptor_19,1,1.19,1.36,-39.139,67.537,67.537,6.249,-32.89,
receptor_2,1,1.48,1.11,23.309,50.648,50.648,-59.037,-35.727999999999994,
receptor_20,1,1.44,1.31,-13.686,44.914,44.914,0.454,-13.232,
receptor_3,1,1.69,0.83,37.648,73.499,73.499,-6.997,30.651000000000003,
receptor_4,1,0.96,1.18,51.655,18.406,18.406,-69.876,-18.221000000000004,
receptor_5,1,1.59,0.82,-20.614,95.146,95.146,15.166,-5.448,
receptor_6,1,1.29,0.76,0.351,59.952,59.952,-22.504,-22.153000000000002,
receptor_7,1,1.44,0.63,-30.859,65.207,65.207,10.765,-20.094,
receptor_8,1,1.28,0.89,48.1,16.918,16.918,-74.776,-26.675999999999995,
receptor_9,1,1.01,1.43,-31.353,42.665,42.665,-4.743,-36.096000000000004,
