conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,0.95,1.13,42.227,123.376,123.376,91.904,134.131,
receptor_10,1,1.3,1.0,-16.357,33.805,33.805,33.226,16.869,
receptor_11,1,1.25,1.38,-15.156,51.942,51.942,-36.588,-51.744,
receptor_12,1,1.71,1.31,-37.687,72.276,72.276,15.245,-22.442,
receptor_13,1,1.62,1.3,-31.123,81.288,81.288,5.868,-25.255000000000003,
receptor_14,1,1.18,0.95,-34.16,83.283,83.283,-5.437,-39.596999999999994,
receptor_15,1,1.28,0.97,-25.703,89.177,89.177,2.998,-22.705,
receptor_16,1,1.18,1.21,-60.36,13.462,13.462,60.411,0.05100000000000193,
receptor_17,1,0.85,1.08,-6.629,7.809,7.809,5.976,-0.6529999999999996,
receptor_18,1,1.43,0.81,38.054,89.513,89.513,29.96,68.01400000000001,
receptor_19,1,1.03,0.7,47.787,61.953,61.953,10.834,58.620999999999995,
receptor_2,1,1.13,0.92,-32.518,42.501,42.501,5.879,-26.639000000000003,
receptor_20,1,0.6,1.02,-76.418,11.343,11.343,64.074,-12.344000000000008,
receptor_3,1,0.92,1.21,5.008,33.049,33.049,-36.538,-31.529999999999998,
receptor_4,1,1.78,0.88,25.329,60.417,60.417,8.547,33.876000000000005,
receptor_5,1,1.45,1.12,29.644,76.877,76.877,-49.623,-19.979,
receptor_6,1,0.86,1.44,81.817,36.289,36.289,-66.567,15.25,
receptor_7,1,1.78,0.65,21.737,74.826,74.826,-8.106,13.630999999999998,
receptor_8,1,0.91,0.89,7.975,83.111,83.111,-21.549,-13.574,
receptor_9,1,1.4,1.04,23.497,9.032,9.032,-7.06,16.437,
