conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,1.34,1.04,-5.82,57.107,57.107,-13.465,-19.285,
receptor_10,1,1.93,0.84,48.484,39.171,39.171,-31.629,16.855,
receptor_11,1,1.65,0.83,-38.444,33.564,33.564,5.501,-32.943000000000005,
receptor_12,1,1.0,1.44,-24.385,54.271,54.271,-11.008,-35.393,
receptor_13,1,1.57,1.13,-14.31,57.206,57.206,-4.94,-19.25,
receptor_14,1,1.07,1.13,-23.788,100.499,100.499,6.243,-17.545,
receptor_15,1,1.31,1.0,-74.471,32.071,32.071,31.787,-42.684000000000005,
receptor_16,1,0.81,1.07,32.694,34.438,34.438,-43.644,-10.949999999999996,
receptor_17,1,1.7,0.81,-32.131,66.297,66.297,13.119,-19.012,
receptor_18,1,1.27,0.73,31.562,94.011,94.011,53.663,85.225,
receptor_19,1,1.01,0.97,-74.045,5.907,5.907,67.49,-6.555000000000007,
receptor_2,1,3.2,0.67,58.109,71.09,71.09,-7.263,50.846000000000004,WARNING! Helix 1 RMSD > 2.0
receptor_20,1,1.28,0.91,16.599,77.248,77.248,-56.738,-40.138999999999996,
receptor_3,1,1.47,0.94,-28.204,85.427,85.427,17.331,-10.873000000000001,
receptor_4,1,4.14,0.8,57.741,75.64,75.64,4.926,62.667,WARNING! Helix 1 RMSD > 2.0
receptor_5,1,1.19,0.64,-6.858,65.056,65.056,-22.08,-28.938,
receptor_6,1,1.25,0.84,37.397,7.841,7.841,-24.044,13.352999999999998,
receptor_7,1,1.35,0.93,17.395,72.503,72.503,22.222,39.617000000000004,
receptor_8,1,0.91,0.77,-72.543,-9.849,9.849,83.452,10.908999999999992,
receptor_9,1,1.34,0.85,-19.354,59.453,59.453,-15.954,-35.308,
