conformer,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,stderr
receptor_1,1,2.75,1.32,67.295,64.701,64.701,15.528,82.82300000000001,WARNING! Helix 1 RMSD > 2.0
receptor_10,1,0.83,1.62,-0.345,16.254,16.254,-45.789,-46.134,
receptor_11,1,1.11,1.7,-3.847,17.237,17.237,-41.07,-44.917,
receptor_12,1,1.18,0.86,17.29,32.692,32.692,-59.933,-42.643,
receptor_13,1,1.41,0.87,-8.294,38.182,38.182,-43.555,-51.849000000000004,
receptor_14,1,1.2,1.08,-9.731,105.177,105.177,-28.573,-38.304,
receptor_15,1,1.28,1.15,-36.351,108.755,108.755,-10.401,-46.751999999999995,
receptor_16,1,1.26,1.09,-34.285,108.775,108.775,-21.96,-56.245,
receptor_17,1,1.45,1.0,46.086,71.039,71.039,-29.396,16.689999999999998,
receptor_18,1,1.3,0.85,38.393,28.214,28.214,-64.334,-25.941000000000003,
receptor_19,1,1.57,0.97,23.367,26.131,26.131,-50.635,-27.267999999999997,
receptor_2,1,1.62,0.81,16.905,78.318,78.318,9.069,25.974000000000004,
receptor_20,1,0.89,1.17,8.537,34.296,34.296,-40.59,-32.053000000000004,
receptor_3,1,1.77,0.77,9.619,70.341,70.341,30.003,39.622,
receptor_4,1,1.92,0.8,36.342,93.676,93.676,51.233,87.57499999999999,
receptor_5,1,2.12,0.79,15.911,81.287,81.287,39.383,55.294000000000004,WARNING! Helix 1 RMSD > 2.0
receptor_6,1,2.21,0.82,30.838,75.384,75.384,12.482,43.32,WARNING! Helix 1 RMSD > 2.0
receptor_7,1,1.59,0.76,-2.836,46.237,46.237,-22.372,-25.208,
receptor_8,1,0.99,1.97,-19.582,29.99,29.99,-18.364,-37.946,
receptor_9,1,1.23,1.88,-46.611,37.202,37.202,-2.128,-48.739,
